pubmed_id,title,keywords,journal,abstract,methods,results,conclusions,copyrights,doi,publication_date,authors
40089329,Tumor-Infiltrating Lymphocyte Therapy: A New Frontier.,"Breast cancer, Cervical cancer, Melanoma, Non–small cell lung cancer, T cell therapy, Tumor-infiltrating lymphocytes",Transplantation and cellular therapy,"In recent years, the successful use of tumor-infiltrating lymphocyte (TIL) therapy to treat melanoma not only culminated in a landmark Food and Drug Administration approval, but has also fueled the emergence of a new, rapidly growing field in TIL cellular immunotherapy surrounding novel enhancements in TIL design, refined manufacturing strategies to enrich for more potent TIL populations, as well as numerous clinical trials now investigating TIL therapy in additional solid tumor types beyond melanoma. This review provides a summary of the latest advances in TIL therapy and what lies ahead for the field. The first section explores several solid cancers that demonstrate the greatest potential for future indications of TIL therapy. The second section provides insight into the promising innovations for designing the next generation of TIL with greater specificity, persistence, safety, and function.",,,,Published by Elsevier Inc.,10.1016/j.jtct.2024.11.014,2025-03-16,"Diane Tseng, Sylvia Lee"
40086733,Redefining Clinical Trial Strategic Design to Support Drug Approval in Medical Oncology.,"Clinical Trials, Medical Oncology, Regulatory Approval, Strategic Design",Annals of oncology : official journal of the European Society for Medical Oncology,"Randomized clinical trials represent the gold standard for the introduction of innovative therapies in medical oncology, and they provide the highest level of evidence to ascertain the clinical activity of new drugs or novel combinations. However, the current infrastructure of clinical trials supporting innovative drug approvals is challenged by an increased body of knowledge concerning tumor biology and therapy resistance, a fast-growing armamentarium of novel anti-cancer compounds, an impressively upscaled data analysis capacity, as well as increasing costs related to clinical trials' management. In this scenario, modern clinical trial designs need to evolve to expedite new drug approvals by tailoring patients' treatment strategies according to their medical needs. Balanced, patient-oriented, clinical trial designs are eagerly warranted to increase their efficiency, to include the fast-pace of technological innovations and scientific discoveries, and ultimately to face the challenges of the modern medical oncology field.",,,,Copyright © 2025 European Society for Medical Oncology. Published by Elsevier Ltd. All rights reserved.,10.1016/j.annonc.2025.03.005,2025-03-15,"G Antonarelli, J M Pérez-García, M Gion, H Rugo, P Schmid, A Bardia, S Hurvitz, N Harbeck, S M Tolaney, G Curigliano, A Llombart-Cussac, J Cortés"
40085126,Stable and discriminating OCT-derived radiomics features for predicting anti-VEGF treatment response in diabetic macular edema.,"anti‐VEGF therapy, diabetic macular edema, discriminability, radiomics, spectral domain‐optical coherence tomography, stability",Medical physics,"Radiomics-based characterization of fluid and retinal tissue compartments of spectral-domain optical coherence tomography (SD-OCT) scans has shown promise to predict anti-VEGF therapy treatment response in diabetic macular edema (DME). Radiomics features are sensitive to different image acquisition parameters of OCT scanners such as axial resolution, A-scan rate, and voxel size; consequently, the predictive capability of the radiomics features might be impacted by inter-site and inter-scanner variations.
The main objective of this study was (1) to develop a more generalized classifier by identifying the OCT-derived texture-based radiomics features that are both stable (across multiple scanners) as well as discriminative of therapeutic response in DME and (2) to identify the relative stability of individual radiomic features that are associated with specific spatial compartments (e/g. fluid or tissue) within the eye.
A combination of 151 optimal responders and rebounders of anti-VEGF therapy in DME were included from the PERMEATE (imaged using Cirrus HD-OCT scanner) and VISTA clinical trials (imaged using Cirrus HD-OCT and Spectralis scanners). For each patient within the study, a set of 494 texture-based radiomics features were extracted from the fluid and the retinal tissue compartment of OCT images. The training set ( 
The model 
Our study suggests that incorporating both stable and discriminatory texture-based radiomic features extracted from fluid and retinal tissue compartments of OCT scans, a more generalized radiomic classifier can be developed to predict therapeutic response in DME. Also, the feature stability was found to be a function of the spatial location within the eye from where the features were extracted.",,The model ,,© 2025 The Author(s). Medical Physics published by Wiley Periodicals LLC on behalf of American Association of Physicists in Medicine.,10.1002/mp.17695,2025-03-14,"Sudeshna Sil Kar, Hasan Cetin, Sunil K Srivastava, Anant Madabhushi, Justis P Ehlers"
40084371,Overcoming challenges of recruiting cancer patients into clinical trials: insights from a randomized trial of app-based smoking cessation interventions.,"Cancer patients, cigarette smoking, clinical trials, digital behavioral interventions, recruitment, smartphone apps, smoking cessation",American journal of cancer research,"Behavioral clinical trials among cancer patients often fail to meet recruitment goals - especially for underrepresented groups. Comparing recruitment strategies on participant accrual and cost can inform the use of cost-effective recruitment strategies for enrollment of diverse populations of cancer patients. In this study, we compared social media, internet sites, and clinic-based recruitment on accrual, cost, and characteristics of cancer patients (i.e., sociodemographic, cancer type/stage, and smoking habits) enrolled in a randomized trial of app-based smoking cessation interventions. Fisher's exact tests for categorical variables and analysis of variance for continuous variables were used to compared data between recruitment strategies. In 35 months, 427 cancer patients from 45 US states enrolled in the trial out of 3,936 screened (rate of participation, 10.8%). Social media recruited over eight times the number of enrolled participants (n=340, 79.6%) compared with Internet sites (n=43, 10.1%) and clinics (n=42, 9.8%). Most (80.1%) participants were women, with mean age 52.3 years. About 20.4% of participants were from underrepresented racial/ethnic backgrounds, 23.0% were rural residents, and 23.7% were uninsured. Over 32 cancer types and all cancer stages were represented. Breast cancer was the most common diagnosis (n=129/427, 30.2%), followed by lung cancer (n=96/427, 23.8%). Internet recruitment generated a higher proportion of men (30.2% vs. 26.2% clinics vs. 17.4% social media, ",,,,AJCR Copyright © 2025.,10.62347/SPVK4847,2025-03-14,"Margarita Santiago-Torres, Johann Lee Westmaas, Jamie S Ostroff, Kristin E Mull, Brianna M Sullivan, Joseph M Unger, Jonathan B Bricker"
40083848,"A Systematic Review of Mechanisms, Incidence, and Management of Trastuzumab Deruxtecan Induced ILD/Pneumonitis in Solid Tumors.","ADC, AEs, HER2, ILD/pneumonitis, T-DXd","Drug design, development and therapy","Trastuzumab deruxtecan (T-DXd) has been approved to treat various tumors. While most adverse events (AEs) associated with T-DXd are manageable, interstitial lung disease (ILD)/pneumonitis is a notable AE of special concern. This review describes the incidence, severity, and management of T-DXd-induced ILD/pneumonitis across different tumors. We conducted a systematic search of PubMed, Embase, Cochrane Library, and Web of Science for literature published up to 13 September 2024, regarding the use of T-DXd in the treatment of HER2-positive tumors. Studies included were clinical trials involving HER2-positive tumors with reported ILD/pneumonitis cases.The main data extracted from the full-text articles included the incidence and severity of T-DXd-induced ILD. 18 studies involving 3380 patients with various advanced solid malignancies were included in our review. The overall incidence of adjudicated drug-related ILD/pneumonitis was 12.40%. Although most ILD/pneumonitis cases were low-grade, the risk of ILD/pneumonitis-related death should not be overlooked. Given the prolonged exposure to the drug, careful monitoring and management of T-DXd-induced ILD/pneumonitis are critical. Management strategies include dose reduction, treatment interruption, discontinuation, corticosteroids, and supportive care. Further research is needed to clarify the risk factors and mechanisms underlying T-DXd-induced ILD/pneumonitis. This review highlights critical gaps in understanding the risk factors and mechanisms of T-DXd-induced ILD, underscoring the need for further research.",,,,© 2025 Liao et al.,10.2147/DDDT.S508773,2025-03-14,"Dehua Liao, Jiwen Zhang, Ting Yan, Yun Chen, Yilan Fu, Ning Xie, Minghui Long"
40082241,Oral selective estrogen receptor degraders (SERDs) in hormone receptor-positive HER2-negative metastatic breast cancer after progression with CDK4/6 inhibitors.,"Breast cancer, ESR1 mutations, SERD, endocrine therapy, metastatic, resistance mechanisms",Expert review of anticancer therapy,"Hormone receptor-positive (HR+), HER2-negative metastatic breast cancer (mBC) remains a prevalent and challenging disease. Endocrine therapy (ET) combined with CDK4/6 inhibitors is the first-line standard of care, yet resistance mechanisms, including ESR1 mutations, drive disease progression. Novel oral selective estrogen receptor degraders (SERDs) have emerged as promising therapeutic agents after progression with CDK4/6 inhibitors secondary to ESR1 mutations. However, the available studies on SERDs differ in design, study population, and outcomes, necessitating a critical review of available data.
This review explores the mechanisms, clinical efficacy, and safety profiles of oral SERDs in HR-positive, HER2-negative mBC, particularly following progression on CDK4/6 inhibitors. Recent key clinical trials, including EMERALD, SERENA-2, EMBER-3 and AMEERA-3, are analyzed, highlighting their efficacy in overcoming resistance, especially in ESR1-mutant populations.
Oral SERDs offer enhanced bioavailability and convenience compared to fulvestrant, representing a critical advancement in endocrine therapy. Their integration into treatment strategies, particularly in combination regimens and ctDNA-driven approaches, may improve patient outcomes and address resistance mechanisms. However, other than ESR1 mutations, clinical refinement for patient selection is limited. Further trials are needed to optimize patient selection for oral SERD use and define the most effective combination strategies with oral SERDs.",,,,,10.1080/14737140.2025.2479604,2025-03-14,"Taha Koray Sahin, Sercan Aksoy, Deniz Can Guven"
40081871,"Uptake, utility and resource requirements of a genetic counselling telephone helpline within the BRCA-DIRECT digital pathway for mainstreamed BRCA testing in patients with breast cancer.","Genetic Counselling, Genetic Testing, Germline Mutation, Health Services Administration, Medical Oncology",Journal of medical genetics,"We trialled the first digital pathway (BRCA-DIRECT) aiming to improve capacity for mainstreamed BRCA testing within UK breast oncology services. Patients received standardised digital pretest information, with saliva sampling and consent to testing completed at home. For individualised support, we offered access to a clinical genetics professional via a telephone helpline (TH).
To evaluate the utilisation, uptake and resource requirements for provision of the TH, we analysed data from structured call logs recorded in the BRCA-DIRECT Study. Mixed-methods analysis included combining quantitative data from call logs and patient demographics with thematic analysis of free-text notes establishing reasons for calls. Additional data were analysed from structured telephone interviews.
Calls were received from 201/1140 (17.6%) patients. We identified that 84.6% of calls (274 calls, 1097 min) pertained to 'administrative' support needs only. The remaining 15.4% required a clinical genetics professional (50 calls, 344 min). Of the clinical calls received: 26.0% were placed prior to test consent, 36.0% while awaiting results and 38.0% post results, with median (interquartile) call lengths of 8 (4-10) min; 5.5 (4-10) min; and 5 (3-7) min, respectively. Across all 1140 patients, a mean of 0.3 min of clinical time was required per patient.
Our findings demonstrate that the 'BRCA-DIRECT' model of standardised information provision served most patients, with a minority using the helpline for supplementary clinical information or support. The modest per-patient requirement for clinical time supports the scalability of this model for expanding mainstream genetic testing within UK oncology services.",,"Calls were received from 201/1140 (17.6%) patients. We identified that 84.6% of calls (274 calls, 1097 min) pertained to 'administrative' support needs only. The remaining 15.4% required a clinical genetics professional (50 calls, 344 min). Of the clinical calls received: 26.0% were placed prior to test consent, 36.0% while awaiting results and 38.0% post results, with median (interquartile) call lengths of 8 (4-10) min; 5.5 (4-10) min; and 5 (3-7) min, respectively. Across all 1140 patients, a mean of 0.3 min of clinical time was required per patient.",,© Author(s) (or their employer(s)) 2025. Re-use permitted under CC BY. Published by BMJ Group.,10.1136/jmg-2024-110428,2025-03-14,"Bethany Torr, Grace Kavanaugh, Monica Hamill, Christopher Jones, Helena Harder, Sophie Allen, Alice Garrett, Subin Choi, Rosalind Way, Rochelle Gold, Amy Taylor, Rhian Gabe, Anneke Lucassen, Ranjit Manchanda, Angela George, Michael Hubank, Stephen Bremner, Ashu Gandhi, Zoe Kemp, D Gareth Evans, Lesley Fallowfield, Valerie Jenkins, Clare Turnbull"
40080789,System-Level Transformations to Increase Patient Participation in Clinical Trials.,,JCO oncology practice,"Over the course of the COVID-19 pandemic, the Food and Drug Administration allowed cancer clinical trials to make modifications. As policymakers consider sustaining these modifications, understanding patient perspectives on impact is critical.
This cross-sectional study used survey data collected between August 2021 and September 2021 by the Translational Breast Cancer Research Consortium and December 2022 by Patient Advocate Foundation among female breast cancer survivors. Respondents reported how changes to location, telemedicine, convenience, and opting out of certain procedures would affect their willingness to participate in a trial. Respondents' county-level vulnerability was determined using five-digit Federal Information Processing Standard codes to link to the Social Vulnerability Index (SVI) overall theme (range, 0-1). According to the SVI, the most vulnerable counties are those in the upper 10% of the overall theme. Model-estimated odds ratios (ORs) and 95% CIs were estimated using multinomial logistic regression models to explore the association between county-level social vulnerability and willingness to participate.
Overall, 573 women were included, 12% lived in the most vulnerable counties, and 18% had previous trial participation. Over half (53%) reported that they would be very willing to participate in a trial that offered medication delivery to the home. When compared with all other counties, respondents in most vulnerable counties did not have increased willingness to participate in a trial using telemedicine (OR, 0.21 [95% CI, 0.07 to 0.63]). Results were similar for all other trial modifications, though not statistically significant.
Our sample of breast cancer survivors viewed trial modifications favorably. However, respondents in the most vulnerable counties were less likely to be influenced by these modifications. Research is needed to understand if additional modifications would influence participation of this vulnerable population.",,"Overall, 573 women were included, 12% lived in the most vulnerable counties, and 18% had previous trial participation. Over half (53%) reported that they would be very willing to participate in a trial that offered medication delivery to the home. When compared with all other counties, respondents in most vulnerable counties did not have increased willingness to participate in a trial using telemedicine (OR, 0.21 [95% CI, 0.07 to 0.63]). Results were similar for all other trial modifications, though not statistically significant.","Our sample of breast cancer survivors viewed trial modifications favorably. However, respondents in the most vulnerable counties were less likely to be influenced by these modifications. Research is needed to understand if additional modifications would influence participation of this vulnerable population.",,10.1200/OP-24-00736,2025-03-14,"Nicole E Caston, Luqin Deng, Courtney P Williams, Emily B Levitan, Andres Azuero, Russell Griffin, Karen L Smith, Antonio C Wolff, Michelle E Melisko, Eileen H Shinn, Kathleen Gallagher, Rebekah Angove, Stephanie B Wheeler, Gabrielle B Rocque"
40080721,Signaling pathway dysregulation in breast cancer.,"breast cancer, clinical trials, oncogenic pathways, signal dysregulation in cancer, therapeutic approaches",Oncotarget,"This article provides a comprehensive analysis of the signaling pathways implicated in breast cancer (BC), the most prevalent malignancy among women and a leading cause of cancer-related mortality globally. Special emphasis is placed on the structural dynamics of protein complexes that are integral to the regulation of these signaling cascades. Dysregulation of cellular signaling is a fundamental aspect of BC pathophysiology, with both upstream and downstream signaling cascade activation contributing to cellular process aberrations that not only drive tumor growth, but also contribute to resistance against current treatments. The review explores alterations within these pathways across different BC subtypes and highlights potential therapeutic strategies targeting these pathways. Additionally, the influence of specific mutations on therapeutic decision-making is examined, underscoring their relevance to particular BC subtypes. The article also discusses both approved therapeutic modalities and ongoing clinical trials targeting disrupted signaling pathways. However, further investigation is necessary to fully elucidate the underlying mechanisms and optimize personalized treatment approaches.",,,,,10.18632/oncotarget.28701,2025-03-14,"Dinara Ryspayeva, Attila A Seyhan, William J MacDonald, Connor Purcell, Tyler J Roady, Maryam Ghandali, Nataliia Verovkina, Wafik S El-Deiry, Martin S Taylor, Stephanie L Graff"
40080701,Radiation-induced lymphocyte apoptosis and chromosomic aberrations for prediction of toxicities in patients undergoing radical radiotherapy for breast or prostate cancers.,"Apoptosis, breast fibrosis, chromosomic aberrations, lymphocyte, pelvic toxicities, radiotherapy adverse effects",The British journal of radiology,"Radiation-induced lymphocyte apoptosis (RILA) and chromosomal damage assays (CDA) assays are proposed predictors of radiotherapy (RT) adverse events (RTAE). This study evaluated RILA and CDA in patients undergoing different RT dose regimens for early breast (FAST trial) or prostate (CHHiP trial) cancer.
Consecutive patients were recruited from each trial. Fresh heparinised blood samples were analyzed for RILA and CDA. The primary endpoint was time to first change in photographic breast appearance (FAST) or time to first grade ≥2 RTOG bladder or bowel toxicity (CHHiP). The secondary endpoint in FAST was breast fibrosis.
The dataset included 103 FAST and 297 CHHiP trial patients. No significant association of RILA with the primary endpoint was observed in the FAST trial. However, the risk of grade ≥2 breast fibrosis was lower in patients with RILA ≥24% compared to those with RILA ≤16% (p = 0.012). In the CHHiP trial, no significant associations were found between CDA after prostate radiotherapy outcomes. However, higher levels of micronuclei per cell were associated with a lower risk of grade ≥2 RTOG pelvic toxicities. The relative risk of developing grade ≥2 RTAE decreased for patients with RILA ≥ 24% but was not statistically significant.
No association was found between RILA and photographic breast appearance. High RILA values were statistically associated with a lower risk of grade ≥2 breast fibrosis. In the CHHiP trial, most assays showed no association with pelvic toxicities.
RILA is confirmed as a potential predictor of breast fibrosis regarding fraction sizes.",,"The dataset included 103 FAST and 297 CHHiP trial patients. No significant association of RILA with the primary endpoint was observed in the FAST trial. However, the risk of grade ≥2 breast fibrosis was lower in patients with RILA ≥24% compared to those with RILA ≤16% (p = 0.012). In the CHHiP trial, no significant associations were found between CDA after prostate radiotherapy outcomes. However, higher levels of micronuclei per cell were associated with a lower risk of grade ≥2 RTOG pelvic toxicities. The relative risk of developing grade ≥2 RTAE decreased for patients with RILA ≥ 24% but was not statistically significant.",,"© The Author(s) 2025. Published by Oxford University Press on behalf of the British Institute of Radiology. All rights reserved. For commercial re-use, please contact reprints@oup.com for reprints and translation rights for reprints. All other permissions can be obtained through our RightsLink service via the Permissions link on the article page on our site—for further information please contact journals.permissions@oup.com.",10.1093/bjr/tqaf056,2025-03-14,"David Azria, Joanne S Haviland, Muriel Brengues, Clare Griffin, Jayne Moquet, Stephen Barnard, David P Dearnaley, Annie Gao, Lone Gothard, Kai Rothkamm, John R Yarnold"
