pubmed_id,title,keywords,journal,abstract,methods,results,conclusions,copyrights,doi,publication_date,authors
40087766,Beyond expectations: investigating nilotinib's potential in attenuating neurodegeneration in alzheimer's disease.,"Alzheimer disease, Autophagy, Memory, Neurodegeneration, Protein aggregates, Repurposed",Alzheimer's research & therapy,"Neurodegenerative diseases, such as Alzheimer's disease (AD), pose a formidable global challenge. While therapeutic options are available, their limitations are significant, necessitating the development of innovative treatment approaches. Here, we highlight the importance of repurposing drugs and discuss the future of drug treatments for AD. We review the potential of tyrosine kinase inhibitors (TKI) for mitigating AD pathology and symptoms, as well as neurodegenerative processes more broadly. We focus on nilotinib, a selective BCR-ABL tyrosine kinase inhibitor, which has unique mechanisms of action involving the modulation of cell responses and removal of toxic proteins associated with AD pathogenesis. Encouraging studies have demonstrated its efficacy, calling for further investigation through clinical trials to assess its potential in various neurodegenerative conditions. However, despite these promising preclinical findings, no clinical studies have yet conclusively demonstrated its efficacy in treating AD. Considering the future directions in AD research, personalized medicine approaches hold promise by incorporating patient-specific factors, including sex and gender differences, to tailor nilotinib treatment for improved efficacy and safety profiles.",,,,© 2025. The Author(s).,10.1186/s13195-025-01706-w,2025-03-16,"Darcy Tocci, Maiah Fogel, Vanya Gupta, Peter Kim, Jean Latimer, Aida Adlimoghaddam, Lisa S Robison, Benedict C Albensi"
40086910,Correlation between changes in apathy and cognition in Alzheimer's disease associated apathy: Analysis of the Apathy in Dementia Methylphenidate Trial 2 (ADMET 2).,"Alzheimer’s disease, Apathy, Cognition, Methylphenidate",International psychogeriatrics,"Previous trials have shown improvements in both apathy and cognition with methylphenidate (MPH).
To assess whether changes in apathy correlated with changes in cognition in the Apathy in Dementia Methylphenidate Trial 2 (ADMET 2).
Mild to moderate AD patients with clinically significant apathy randomized to MPH (20 mg/day) or placebo for 6 months.
Apathy was measured with the Neuropsychiatric Inventory-apathy (NPI-A) domain. Cognition was measured using the Mini-Mental State Exam (MMSE), Hopkins Verbal Learning (immediate [HVLT-I], delayed [HVLT-D] recall), Digit Span (Forward [DF], Backward [DB]), Trail Making (TMT-A, TMT-B), Action Verbal Fluency (AV), Category Fluency (CF), and the Short Boston Naming Test (BNT).
Linear mixed models included cognitive change scores as dependent variables and time, treatment, change in NPI-A and the interaction between treatment and change in NPI-A as independent variables, which were additionally adjusted for baseline NPI-A and cognitive scores, age, sex, level of education and presence of diabetes.
199 participants (66 % male) were included (98-MPH, 101-placebo). Among all participants, worsening CF was associated with worsening apathy (-0.15 (0.05), p = .003). In addition, change in HVLT-I was associated with the interaction between changes in apathy and treatment (-0.31 (0.07), p = 0.0000158).
Changes in apathy are mostly independent of cognitive changes and apathy response to MPH may be independent from cognition. These results are consistent with the view that apathy as a syndrome is related to but distinct from cognition.",,"199 participants (66 % male) were included (98-MPH, 101-placebo). Among all participants, worsening CF was associated with worsening apathy (-0.15 (0.05), p = .003). In addition, change in HVLT-I was associated with the interaction between changes in apathy and treatment (-0.31 (0.07), p = 0.0000158).",Changes in apathy are mostly independent of cognitive changes and apathy response to MPH may be independent from cognition. These results are consistent with the view that apathy as a syndrome is related to but distinct from cognition.,Copyright © 2024 The Authors. Published by Elsevier Inc. All rights reserved.,10.1016/j.inpsyc.2024.100012,2025-03-15,"Krushnaa Sankhe, Shankar Tumati, Jamie Perin, Luc Rivet, Danielle Vieira, Paul B Rosenberg, Nathan Herrmann, David Shade, Alan J Lerner, Prasad R Padala, Olga Brawman-Mintzer, Christopher H van Dyck, Anton P Porsteinsson, Suzanne Craft, Allan I Levey, Jacobo Mintzer, Krista L Lanctôt"
40083386,The effect of tanshinones on cognitive impairments in animal models of Alzheimer's disease: a systematic review and meta-analysis.,"Alzheimer’s disease, animal models, cognitive impairment, meta-analysis, tanshinones",Frontiers in pharmacology,"Alzheimer's disease (AD) is an age-related neurological illness that poses a significant hazard to human health. A fat-soluble compound called tanshinones was isolated from Danshen, a traditional Chinese herb. Recent years have seen reports of clinical trials examining the effects of tanshinones on cognitive impairment among individuals with AD, as well as the publication of pertinent basic research. Tanshinones are not yet commonly utilized in the therapeutic treatment of AD, and the effectiveness of tanshinones as a treatment program for AD is not yet adequately supported by evidence. To assess the impact of tanshinones on cognitive impairment in experimental rodent models of AD, we carried out a systematic review in this work.
All relevant studies on the usage of tanshinones in AD model animals published in PubMed, Cochrane Library, Web of Science, EMBASE, Chinese Biomedicine Database, and China National Knowledge Infrastructure before 8 September 2024, were systematically retrieved. To assess the methodological quality, the CAMARADES checklist was used. Meta-analysis was calculated and graphed in the Stata 14.0 software. For each outcome in every study, the standard mean difference (SMD) and the 95% confidence interval (CI) of each effect size were calculated.
Fourteen studies were included in this study. Compared with the AD model group without tanshinones intervention, tanshinones significantly reduced the number of escape latency [SMD = -2.082, 95% CI = (-2.481, -1.683), p < 0.001]. Tanshinones also increased the times of platform crossing [SMD = 1.464, 95% CI = (1.183, 1.744), p < 0.001] and time in target quadrants [SMD = 2.703, 95% CI = (2.132, 3.275), p < 0.001].
Tanshinones are thought to have positive effects on cognitive impairment in rodent models of AD, according to the findings of this study. However, the level of quality of the included research may have an impact on the accuracy of positive outcomes. Thus, more high-quality randomized controlled animal studies are required to guide future scientific and clinical research.
identifier CRD42024557980.","All relevant studies on the usage of tanshinones in AD model animals published in PubMed, Cochrane Library, Web of Science, EMBASE, Chinese Biomedicine Database, and China National Knowledge Infrastructure before 8 September 2024, were systematically retrieved. To assess the methodological quality, the CAMARADES checklist was used. Meta-analysis was calculated and graphed in the Stata 14.0 software. For each outcome in every study, the standard mean difference (SMD) and the 95% confidence interval (CI) of each effect size were calculated.","Fourteen studies were included in this study. Compared with the AD model group without tanshinones intervention, tanshinones significantly reduced the number of escape latency [SMD = -2.082, 95% CI = (-2.481, -1.683), p < 0.001]. Tanshinones also increased the times of platform crossing [SMD = 1.464, 95% CI = (1.183, 1.744), p < 0.001] and time in target quadrants [SMD = 2.703, 95% CI = (2.132, 3.275), p < 0.001].","Tanshinones are thought to have positive effects on cognitive impairment in rodent models of AD, according to the findings of this study. However, the level of quality of the included research may have an impact on the accuracy of positive outcomes. Thus, more high-quality randomized controlled animal studies are required to guide future scientific and clinical research.","Copyright © 2025 Wang, Yang, Zheng, Zhang and Zhong.",10.3389/fphar.2025.1529327,2025-03-14,"Shuwei Wang, Jinsha Yang, Wenbin Zheng, Serena Zhang, Dayong Zhong"
40082180,"Corrigendum to ""17th Clinical Trials on Alzheimer's Disease (CTAD) Madrid, Spain, October 29 - November 1, 2024: Symposia, Oral Communications"" [J Prev Alzheimers Dis 2025;12(1S):100043].",,The journal of prevention of Alzheimer's disease,,,,,,10.1016/j.tjpad.2025.100120,2025-03-14,
40081955,Development and Validation of a ,"Alzheimer disease, flortaucipir PET, high tau, visual read method","Journal of nuclear medicine : official publication, Society of Nuclear Medicine","Tau PET quantitation methods have been used in research settings and clinical trials to measure tau burden for diagnostic, staging, and prognostic purposes. However, these methods require specialized software, skilled analysts, and advanced image processing. We developed a novel ",,,,© 2025 by the Society of Nuclear Medicine and Molecular Imaging.,10.2967/jnumed.124.268700,2025-03-14,"Ilke Tunali, Jian Wang, Anupa K Arora, Min Jung Kim, Sergey Shcherbinin, Michael Pontecorvo, Leonardo Iaccarino"
40081897,The microbiome: what a neurologist needs to know.,"ALZHEIMER-S DISEASE, CLINICAL NEUROLOGY, EPILEPSY, MICROBIOLOGY, MULTIPLE SCLEROSIS",Practical neurology,"The gastrointestinal tract is inhabited by trillions of micro-organisms that form the gut microbiome, which serves various functions that can influence neurological pathways. It can release metabolites that could affect the nervous system. The bidirectional communication between the intestine and the central nervous system is known as the gut-brain axis. This communication can be impacted by the microbiota in various direct and indirect ways. There has been a suggested connection between the microbiome and many neurological disorders, including epilepsy, Alzheimer's disease, Parkinson's disease and multiple sclerosis. This has been explored in human and animal studies. While no microbial biomarkers have been identified yet, alterations in several taxa have been suggested to be associated with disease states. The potential of the microbiome to modulate neurological function has sparked multiple clinical trials using gut-altering treatments, some with positive preliminary results.",,,,© Author(s) (or their employer(s)) 2025. No commercial re-use. See rights and permissions. Published by BMJ Group.,10.1136/pn-2024-004400,2025-03-14,"Anna B Dehghanizai, Christopher J Stewart, Rhys H Thomas"
40076831,Progress in AAV-Mediated In Vivo Gene Therapy and Its Applications in Central Nervous System Diseases.,"Alzheimer’s disease, Canavan disease, Huntington’s disease, Parkinson’s disease, adeno-associated virus, aromatic L-amino acid decarboxylase deficiency, capsid engineering, central nervous system, gene therapy",International journal of molecular sciences,"As the blood-brain barrier (BBB) prevents molecules from accessing the central nervous system (CNS), the traditional systemic delivery of chemical drugs limits the development of neurological drugs. However, in recent years, innovative therapeutic strategies have tried to bypass the restriction of traditional drug delivery methods. In vivo gene therapy refers to emerging biopharma vectors that carry the specific genes and target and infect specific tissues; these infected cells and tissues then undergo fundamental changes at the genetic level and produce therapeutic proteins or substances, thus providing therapeutic benefits. Clinical and preclinical trials mainly utilize adeno-associated viruses (AAVs), lentiviruses (LVs), and other viruses as gene vectors for disease investigation. Although LVs have a higher gene-carrying capacity, the vector of choice for many neurological diseases is the AAV vector due to its safety and long-term transgene expression in neurons. Here, we review the basic biology of AAVs and summarize some key issues in recombinant AAV (rAAV) engineering in gene therapy research; then, we summarize recent clinical trials using rAAV treatment for neurological diseases and provide translational perspectives and future challenges on target selection.",,,,,10.3390/ijms26052213,2025-03-13,"Shuming Wang, Lin Xiao"
40076425,Sub-Immunosuppressive Tacrolimus Ameliorates Amyloid-Beta and Tau Pathology in 3xTg-AD Mice.,"3xTg-AD, Alzheimer’s disease, FK506, amyloid-beta, calcineurin, tacrolimus, tau",International journal of molecular sciences,"Tacrolimus (TAC) has emerged as a potential therapy for Alzheimer's disease (AD), with the challenge of balancing its therapeutic benefits against its immunosuppressive effects. This study explores the efficacy of a sub-immunosuppressive TAC dosing regimen to ameliorate AD-related pathologies. TAC was administered daily for 14 days, with drug concentrations measured via liquid chromatography tandem mass spectrometry (LC-MS/MS) in whole blood and hippocampal tissue from C57BL6J mice, while immunofluorescence analyses and Western blotting (performed on hippocampal extracts) were conducted in 10-12 month old 3xTg-AD mice to evaluate levels of tau and amyloid-beta (Aβ) proteins. The results from LC-MS/MS revealed that lower TAC doses resulted in sub-immunosuppressive blood levels, while still penetrating the hippocampi. Immunofluorescence showed reductions in tau and Aβ proteins in 3xTg-AD mice. Additionally, Western blot analyses revealed reductions in tau and Aβ, along with increases in synaptic and autophagy-related proteins. These findings highlight the potential of sub-immunosuppressive TAC doses in effectively targeting AD pathology while minimizing the risk of chronic systemic immunosuppression. Further research and clinical trials are warranted to establish the optimal TAC dosing regimen for AD treatment.",,,,,10.3390/ijms26051797,2025-03-13,"Jacqueline Silva, Batbayar Tumurbaatar, Jutatip Guptarak, Wen-Ru Zhang, Anna Fracassi, Giulio Taglialatela"
40075459,Comprehensive cross-sectional and longitudinal comparisons of plasma glial fibrillary acidic protein and neurofilament light across FTD spectrum disorders.,"Behavioral variant frontotemporal dementia, Biofluid, Biomarker, Corticobasal syndrome, Glial fibrillary acidic protein, Neurofilament light, Plasma, Presymptomatic, Primary progressive aphasia, Progressive supranuclear palsy-Richardson’s syndrome",Molecular neurodegeneration,"Therapeutic development for frontotemporal dementia (FTD) is hindered by the lack of biomarkers that inform susceptibility/risk, prognosis, and the underlying causative pathology. Blood glial fibrillary acidic protein (GFAP) has garnered attention as a FTD biomarker. However, investigations of GFAP in FTD have been hampered by symptomatic and histopathologic heterogeneity and small cohort sizes contributing to inconsistent findings. Therefore, we evaluated plasma GFAP as a FTD biomarker and compared its performance to that of neurofilament light (NfL) protein, a leading FTD biomarker.
We availed ARTFL LEFFTDS Longitudinal Frontotemporal Lobar Degeneration (ALLFTD) study resources to conduct a comprehensive cross-sectional and longitudinal examination of the susceptibility/risk, prognostic, and predictive performance of GFAP and NfL in the largest series of well-characterized presymptomatic FTD mutation carriers and participants with sporadic or familial FTD syndromes. Utilizing single molecule array technology, we measured GFAP and NfL in plasma from 161 controls, 127 presymptomatic mutation carriers, 702 participants with a FTD syndrome, and 67 participants with mild behavioral and/or cognitive changes. We used multivariable linear regression and Cox proportional hazard models adjusted for co-variates to examine the biomarker utility of baseline GFAP and NfL concentrations or their rates of change.
Compared to controls, GFAP and NfL were elevated in each FTD syndrome but GFAP, unlike NfL, poorly discriminated controls from participants with mild symptoms. Similarly, both baseline GFAP and NfL were higher in presymptomatic mutation carriers who later phenoconverted, but NfL better distinguished non-converters from phenoconverters. We additionally observed that GFAP and NfL were associated with disease severity indicators and survival, but NfL far outperformed GFAP. Nevertheless, we validated findings that the GFAP/NfL ratio may discriminate frontotemporal lobar degeneration with tau versus TDP-43 pathology.
Our head-to-head comparison of plasma GFAP and NfL as biomarkers for FTD indicate that NfL consistently outmatched GFAP as a prognostic and predictive biomarker for participants with a FTD syndrome, and as a susceptibility/risk biomarker for people at genetic risk of FTD. Our findings underscore the need to include leading biomarkers in investigations evaluating new biomarkers if the field is to fully ascertain their performance and clinical value.",,"Compared to controls, GFAP and NfL were elevated in each FTD syndrome but GFAP, unlike NfL, poorly discriminated controls from participants with mild symptoms. Similarly, both baseline GFAP and NfL were higher in presymptomatic mutation carriers who later phenoconverted, but NfL better distinguished non-converters from phenoconverters. We additionally observed that GFAP and NfL were associated with disease severity indicators and survival, but NfL far outperformed GFAP. Nevertheless, we validated findings that the GFAP/NfL ratio may discriminate frontotemporal lobar degeneration with tau versus TDP-43 pathology.",,© 2025. The Author(s).,10.1186/s13024-025-00821-4,2025-03-13,"Udit Sheth, Linn Öijerstedt, Michael G Heckman, Launia J White, Hilary W Heuer, Argentina Lario Lago, Leah K Forsberg, Kelley M Faber, Tatiana M Foroud, Rosa Rademakers, Eliana Marisa Ramos, Brian S Appleby, Andrea C Bozoki, R Ryan Darby, Bradford C Dickerson, Kimiko Domoto-Reilly, Douglas R Galasko, Nupur Ghoshal, Neill R Graff-Radford, Ian M Grant, Chadwick M Hales, Ging-Yuek Robin Hsiung, Edward D Huey, David Irwin, Justin Y Kwan, Irene Litvan, Ian R Mackenzie, Joseph C Masdeu, Mario F Mendez, Chiadi U Onyike, Belen Pascual, Peter S Pressman, Erik D Roberson, Allison Snyder, M Carmela Tartaglia, William W Seeley, Dennis W Dickson, Howard J Rosen, Bradley F Boeve, Adam L Boxer, Leonard Petrucelli, Tania F Gendron"
40074078,Distinct neuronal vulnerability and metabolic dysfunctions are characteristic features of fast-progressing Alzheimer's patients with Lewy bodies.,,The Journal of biological chemistry,"Tau protein accumulation is linked to dementia progression in Alzheimer's disease (AD), with potential co-pathologies contributing to it. The progression of dementia in AD patients varies between individuals, and the association between co-pathology and heterogeneity in dementia progression rate remains unclear. We used longitudinal cohort data, postmortem brain tissues, and biochemical methods such as immunoassays and proteomic profiling to investigate the molecular components associated with progression rate. We report that AD with comorbidities, such as dementia with Lewy bodies (DLB) and TDP-43 pathology, progress faster than AD alone. AD-DLB patients had higher levels of soluble oligomeric tau proteins and lower levels of insoluble tau proteins compared to those with AD alone. Our data suggest that α-synuclein fibrils may enhance tau aggregation through cross-seeding. The prefrontal cortex is more vulnerable to Lewy body pathology than the temporal cortex, and Tau and α-synuclein aggregate in distinct neuronal populations, indicating selective neuronal and regional vulnerability to their respective pathologies. Dysfunctional metabolic pathways were more strongly associated with fast-progressing AD-DLB patients. Our study suggests that comorbidities, such as α-synuclein aggregation and metabolic dysfunctions, are associated with rapidly progressing AD patients, highlighting the importance of patient subgrouping for clinical trials.",,,,Copyright © 2025 The Authors. Published by Elsevier Inc. All rights reserved.,10.1016/j.jbc.2025.108396,2025-03-13,"Mohammed Waseequr Rahman, Preeti Sharma, Trisha Chattopadhyay, Sivaprakasam R Saroja"
