pubmed_id,title,keywords,journal,abstract,methods,results,conclusions,publication_date,category
40015050,"α-Cyanocinnamylboronic acid derivatives are safe, selective anti-inflammatory molecules that inhibit P2X7 receptor function and signaling.","ATP, Boron compounds, Inflammatory disease, Ionic channel, Knoevenagel, Proinflammatory cytokines, Purinergic receptor",Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,"P2X7 purinergic receptor (P2X7R) is a promising target for the development of new anti-inflammatory therapies. This can be inferred from the number of pharmaceutical patents aimed at inhibitors of this receptor and the number of clinical trials related to P2X7 in progress. A previous study demonstrated that α-cyanocinnamylboronic acid derivatives can be valuable starting points for designing P2X7 inhibitors. Encouraged by previous results, new 2-cyanocinamic boronic acids were prepared and evaluated for their cytotoxicity, ability to inhibit human and mouse P2X7 receptors, and anti-inflammatory effects in vitro and in vivo in ATP-induced mouse paw edema. In the present work, a series of 2-cyanocinamic boronic acids were evaluated for their effects on the function and intracellular signaling of the purinergic receptor P2X7. Additionally, the anti-inflammatory properties of the series were investigated through in vitro and in vivo experiments. The selectivity and affinity for inhibiting the P2X7 receptor were investigated in U937 cells via in silico assays. We observed that 3 l inhibited P2X7 receptor function and intracellular signaling in vitro and inflammation in vivo after binding to P2X7 receptor allosteric sites.",,,,2025-02-28,Pubmed_Chagas_Disease.csv
39947818,Cross-sectional evaluation of host biomarkers for guiding antibiotic use in bacterial and non-bacterial acute febrile illness in low- and middle-income tropical settings.,"Anti-Bacterial Agents, Malaria, Public health",BMJ open,"To evaluate the effectiveness of 18 different host biomarkers in differentiating bacterial from non-bacterial acute febrile illness (AFI) in resource-limited settings, specifically in Brazil, Malawi and Gabon.
Multinational, cross-sectional study.
The study was carried out across multiple primary healthcare facilities, including urban and rural settings, with a total of three participating centres. Recruitment took place from October 2018 to July 2019 in Brazil, May to November 2019 in Gabon and April 2017 to April 2018 in Malawi.
A total of 1915 participants, including children and adults aged 21-65 years with a fever of≤7 days, were recruited through convenience sampling from outpatient clinics in Brazil, Gabon and Malawi. Individuals with signs of severe illness were excluded. Written consent was obtained from all participants or their guardians.
This is not applicable as the study primarily focused on biomarker evaluation without specific therapeutic interventions.
The primary outcome measure was the ability of each host biomarker to differentiate between bacterial and non-bacterial AFI, as evaluated by area under the receiver operating characteristic (AUROC) curves. Secondary outcomes included the performance of individual biomarkers across the different study sites and in a multivariable setting.
A Kruskal-Wallis test, adjusted by Benjamini-Hochberg, was performed for each biomarker to identify covariates with a significant difference in the distribution of biomarker values. The analysis revealed that country of origin (Brazil, Gabon, Malawi), age, sex and malaria status significantly impacted biomarker distribution (p≤0.001). The most widely known biomarkers, such as white blood cell (WBC) count and C-reactive protein (CRP), demonstrated the best performance in distinguishing between bacterial and non-bacterial infections, with AUROCs reaching up to 0.83 (0.77-0.88) for WBC count and 0.71 (0.59-0.82) for CRP. However, none of the evaluated novel host biomarkers exhibited high performance (AUROC<0.70 in most cases) and variations in biomarker performance were observed across the three settings. Multivariable analyses demonstrated that while the best combination of biomarkers achieved higher AUROCs, the increase was modest (1-13%), suggesting that the interaction of biomarkers contributed minimally to predictive accuracy.
There is a continued need for innovation in the host-biomarker space as the available markers do not meet the needs of diverse populations around the globe. This highlights the importance of targeted evaluations in non-severe patients in multiple settings to understand the true potential for real-life use. The findings highlight that not one-marker fits all settings and novel innovations remain urgently needed.
Clinical trial number: NCT03047642.",,"A Kruskal-Wallis test, adjusted by Benjamini-Hochberg, was performed for each biomarker to identify covariates with a significant difference in the distribution of biomarker values. The analysis revealed that country of origin (Brazil, Gabon, Malawi), age, sex and malaria status significantly impacted biomarker distribution (p≤0.001). The most widely known biomarkers, such as white blood cell (WBC) count and C-reactive protein (CRP), demonstrated the best performance in distinguishing between bacterial and non-bacterial infections, with AUROCs reaching up to 0.83 (0.77-0.88) for WBC count and 0.71 (0.59-0.82) for CRP. However, none of the evaluated novel host biomarkers exhibited high performance (AUROC<0.70 in most cases) and variations in biomarker performance were observed across the three settings. Multivariable analyses demonstrated that while the best combination of biomarkers achieved higher AUROCs, the increase was modest (1-13%), suggesting that the interaction of biomarkers contributed minimally to predictive accuracy.",,2025-02-14,Pubmed_Chagas_Disease.csv
39811116,Discovery of a Potent Triazole-Based Reversible Targeted Covalent Inhibitor of Cruzipain.,,ACS medicinal chemistry letters,Cruzipain (CZP) is an essential cysteine protease of ,,,,2025-01-15,Pubmed_Chagas_Disease.csv
39772165,Newly Proposed Dose of Daclatasvir to Prevent Lethal SARS-CoV-2 Infection in Human Transgenic ACE-2 Mice.,"K18-hACE2 mice, SARS-CoV-2, anti-HCV drugs, error prone, exonuclease",Viruses,"Coronavirus disease 2019 (COVID-19) still causes death in elderly and immunocompromised individuals, for whom the sustainability of the vaccine response may be limited. Antiviral treatments, such as remdesivir or molnupiravir, have demonstrated limited clinical efficacy. Nirmatrelvir, an acute respiratory syndrome coronavirus 2 (SARS-CoV-2) major protease inhibitor, is clinically effective but has been associated with viral rebound and antiviral resistance. It is thus necessary to study novel and repurposed antivirals for the treatment of COVID-19. We previously demonstrated that daclatasvir (DCV), an inhibitor of the hepatitis C virus (HCV) NS5A protein, impairs SARS-CoV-2 replication by targeting viral RNA polymerase and exonuclease, but the doses of DCV used to inhibit the new coronavirus are greater than the standard human plasma exposure for hepatitis C. Because any potential use of DCV against SARS-CoV-2 would be shorter than that reported here and short-term toxicological studies on DCV show that higher doses are tolerable, we searched for doses of DCV that could protect transgenic mice expressing the human ACE2 receptor (K18-hACE-2) from lethal challenge with SARS-CoV-2. We found that a dose of 60 mg/kg/day provides this protection by reducing virus replication and virus-induced lung insult. This dose is tolerable in different animal models. Taken together, our data provide preclinical evidence that can support phase I clinical trials to confirm the safety, tolerability, and pharmacokinetics of new doses of daclatasvir for a short duration in humans to further advance this compound's utility against COVID-19.",,,,2025-01-08,Pubmed_Chagas_Disease.csv
39627222,Early assessment of antibodies decline in Chagas patients following treatment using a serological multiplex immunoassay.,,Nature communications,"Chagas disease following infection with Trypanosoma cruzi is a major public health issue, with the disease spreading beyond endemic regions and becoming more global due to the migration of infected individuals. The currently available anti-parasitic drugs, nifurtimox and benznidazole, remain insufficiently evaluated for their efficacy in adult patients. A key challenge is the lack of markers for parasitological cure, which also precludes the development of new treatments. Consequently, there is a critical need for a practical method to assess drug performance within a short timeframe. In this retrospective analysis of the phase 2 randomized controlled BENDITA trial (ClinicalTrials.gov: NCT03378661), we report the potential of a serological multiplex method (MultiCruzi), combined with advanced statistical analytical methods, to measure the response to anti-parasitic treatment of adult Chagas patients. Applying this approach to serum samples from adult patients in the indeterminate chronic stage of Chagas disease, treated with different benznidazole regimens and combinations, we predict treatment efficacy after just 6 months of follow-up, in sharp contrast to data obtained with conventional and recombinant T. cruzi ELISA tests. The obtained results are also compared with the PCR data. We propose integrating MultiCruzi as a serological method endpoint in proof-of-concept clinical trials for Chagas disease.",,,,2024-12-04,Pubmed_Chagas_Disease.csv
39576151,SARS-CoV-2 cross-sectional serosurvey across three HIV-1 therapeutic clinical trials in Africa.,,"AIDS (London, England)","Data on the impact of coronavirus disease 2019 (COVID-19) in people with HIV (PWH) are lacking in resource-constrained settings. We utilized existing randomized clinical trials (RCTs) on antiretroviral therapies (ART) in HIV-1 infection to conduct a severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) serosurvey, between January and March 2021, while characterizing participants' features.
Cross-sectional serosurvey.
Demographic characteristics, medical history and a serum sample were collected from consenting PWH. Samples were analyzed centrally for immunoglobulin G antibodies to recombinant nucleocapsid and spike proteins derived from SARS-CoV-2 using a Luminex based assay.
The 549 participants recruited in 9 sites across Africa had a median age of 40 years (interquartile range, IQR [34-45]); 63.0% (346) were female. All were on ART; 81.8% (449) had an HIV-1 viral load <50 copies/ml, with CD4 + cell count median at 478/mm 3 (IQR [320-677]). None had received vaccination against SARS-CoV-2. Forty participants (7.3%) had a prior SARS-CoV-2 PCR testing, of whom 10 were positive (1.8%). Crude SARS-CoV-2 seroprevalence was 36.2% (95% confidence interval (CI) [32.2-40.4]). In the explorative multivariable analysis, comparison of the characteristics of PWH with a positive SARS-CoV-2 serology with those with a negative or indeterminate serology: PWH with a body mass index (BMI) ≥30 kg/m 2 were more likely to have a positive serology than those with a BMI <25 (adjusted odds ratio (aOR) = 2.39 [1.48-3.86], P  < 0.001); and PWH living in Cameroon were less likely to have a positive serology.
This study demonstrates a substantial seroprevalence level of SARS-CoV-2 in PWH in the first quarter of 2021, with a marked disparity with the number of COVID-19 PCR tests reported positive.",,"The 549 participants recruited in 9 sites across Africa had a median age of 40 years (interquartile range, IQR [34-45]); 63.0% (346) were female. All were on ART; 81.8% (449) had an HIV-1 viral load <50 copies/ml, with CD4 + cell count median at 478/mm 3 (IQR [320-677]). None had received vaccination against SARS-CoV-2. Forty participants (7.3%) had a prior SARS-CoV-2 PCR testing, of whom 10 were positive (1.8%). Crude SARS-CoV-2 seroprevalence was 36.2% (95% confidence interval (CI) [32.2-40.4]). In the explorative multivariable analysis, comparison of the characteristics of PWH with a positive SARS-CoV-2 serology with those with a negative or indeterminate serology: PWH with a body mass index (BMI) ≥30 kg/m 2 were more likely to have a positive serology than those with a BMI <25 (adjusted odds ratio (aOR) = 2.39 [1.48-3.86], P  < 0.001); and PWH living in Cameroon were less likely to have a positive serology.","This study demonstrates a substantial seroprevalence level of SARS-CoV-2 in PWH in the first quarter of 2021, with a marked disparity with the number of COVID-19 PCR tests reported positive.",2024-11-22,Pubmed_Chagas_Disease.csv
39532861,Neutralizing antibody correlate of protection against severe-critical COVID-19 in the ENSEMBLE single-dose Ad26.COV2.S vaccine efficacy trial.,,Nature communications,"Assessment of immune correlates of severe COVID-19 has been hampered by the low numbers of severe cases in COVID-19 vaccine efficacy (VE) trials. We assess neutralizing and binding antibody levels at 4 weeks post-Ad26.COV2.S vaccination as correlates of risk and of protection against severe-critical COVID-19 through 220 days post-vaccination in the ENSEMBLE trial (NCT04505722), constituting ~4.5 months longer follow-up than our previous correlates analysis and enabling inclusion of 42 severe-critical vaccine-breakthrough cases. Neutralizing antibody titer is a strong inverse correlate of severe-critical COVID-19, with estimated hazard ratio (HR) per 10-fold increase 0.35 (95% CI: 0.13, 0.90). In a multivariable model, HRs are 0.31 (0.11, 0.89) for neutralizing antibody titer and 1.22 (0.49, 3.02) for anti-Spike binding antibody concentration. VE against severe-critical COVID-19 rises with neutralizing antibody titer: 63.1% (95% CI: 40.0%, 77.3%) at unquantifiable [<4.8975 International Units (IU)50/ml], 85.2% (47.2%, 95.3%) at just-quantifiable (5.2 IU50/ml), and 95.1% (81.1%, 96.9%) at 90",,,,2024-11-13,Pubmed_Chagas_Disease.csv
39383382,Efficacy of convalescent plasma in hospitalized COVID-19 patients: findings from a controlled trial.,,Brazilian journal of medical and biological research = Revista brasileira de pesquisas medicas e biologicas,"The COVID-19 pandemic has driven the search for alternative therapies, including convalescent plasma, historically used in infectious diseases. Despite results in other diseases, its effectiveness against COVID-19 remains uncertain with conflicting results in clinical trials. A pragmatic, single-center, prospective, and open randomized controlled trial was carried out in a hospital in Brazil, with the aim of evaluating the impact of convalescent plasma on the clinical improvement of patients hospitalized with COVID-19. The World Health Organization (WHO) ordinal scale was used to measure clinical improvement, focusing on the reduction in disease severity by up to 2 points, while antibody and C-reactive protein levels were monitored over time. After hospital admission, participants were randomized 1:1 to receive convalescent plasma and standard treatment or to be part of the control group with standard treatment. Follow-up was carried out on days 1, 3, 7, 14 and/or at discharge. From January 14 to April 4, 2022, 38 patients were included, but 3 were excluded due to protocol deviations, resulting in a total of 35 patients: 19 in the control group and 16 in the plasma group. There was no significant difference in clinical improvement between the convalescent plasma group and the control group, nor in secondary outcomes. The study had limitations due to the small number of patients and limited representation of COVID-19 cases. Broader investigations are needed to integrate therapies into medical protocols, both for COVID-19 and other diseases. Conducting randomized studies is challenging due to the complexity of medical conditions and the variety of treatments available.",,,,2024-10-09,Pubmed_Chagas_Disease.csv
39356542,Amiodarone or Implantable Cardioverter-Defibrillator in Chagas Cardiomyopathy: The CHAGASICS Randomized Clinical Trial.,,JAMA cardiology,"Over 10 000 people with Chagas disease experience sudden cardiac death (SCD) annually, mostly caused by ventricular fibrillation. Amiodarone hydrochloride and the implantable cardioverter-defibrillator (ICD) have been empirically used to prevent SCD in patients with chronic Chagas cardiomyopathy.
To test the hypothesis that ICD is more effective than amiodarone therapy for primary prevention of all-cause mortality in patients with chronic Chagas cardiomyopathy and moderate to high mortality risk, assessed by the Rassi score.
CHAGASICS is an open-label, randomized clinical trial. The study enrolled patients from 13 centers in Brazil from May 30, 2014, to August 13, 2021, with the last follow-up November 8, 2021. Patients with serological findings positive for Chagas disease, a Rassi risk score of at least 10 points (intermediate to high risk), and at least 1 episode of nonsustained ventricular tachycardia were eligible to participate. Data were analyzed from May 3, 2022, to June 16, 2023.
Patients were randomized 1:1 to receive ICD or amiodarone (with a loading dose of 600 mg after randomization).
The primary outcome was all-cause mortality, and secondary outcomes included SCD, hospitalization for heart failure, and necessity of a pacemaker during the entire follow-up.
The study was stopped prematurely for administrative reasons, with 323 patients randomized (166 in the amiodarone group and 157 in the ICD group), rather than the intended 1100 patients. Analysis was by intention to treat at a median follow-up of 3.6 (IQR, 1.8-4.4) years. Mean (SD) age was 57.4 (9.8) years, 185 patients (57.3%) were male, and the mean (SD) left ventricular ejection fraction was 37.0% (11.6%). There were 60 deaths (38.2%) in the ICD arm and 64 (38.6%) in the amiodarone group (hazard ratio [HR], 0.86 [95% CI, 0.60-1.22]; P = .40). The rates of SCD (6 [3.8%] vs 23 [13.9%]; HR, 0.25 [95% CI, 0.10-0.61]; P = .001), bradycardia requiring pacing (3 [1.9%] vs 27 [16.3%]; HR, 0.10 [95% CI, 0.03-0.34]; P < .001), and heart failure hospitalization (14 [8.9%] vs 28 [16.9%]; HR, 0.46 [95% CI, 0.24-0.87]; P = .01) were lower in the ICD group compared with the amiodarone arm.
In patients with chronic Chagas cardiomyopathy at moderate to high risk of mortality, ICD did not reduce the risk of all-cause mortality. However, ICD significantly reduced the risk of SCD, pacing need, and heart failure hospitalization compared with amiodarone therapy. Further studies are warranted to confirm the evidence generated by this trial.
ClinicalTrials.gov Identifier: NCT01722942.",,"The study was stopped prematurely for administrative reasons, with 323 patients randomized (166 in the amiodarone group and 157 in the ICD group), rather than the intended 1100 patients. Analysis was by intention to treat at a median follow-up of 3.6 (IQR, 1.8-4.4) years. Mean (SD) age was 57.4 (9.8) years, 185 patients (57.3%) were male, and the mean (SD) left ventricular ejection fraction was 37.0% (11.6%). There were 60 deaths (38.2%) in the ICD arm and 64 (38.6%) in the amiodarone group (hazard ratio [HR], 0.86 [95% CI, 0.60-1.22]; P = .40). The rates of SCD (6 [3.8%] vs 23 [13.9%]; HR, 0.25 [95% CI, 0.10-0.61]; P = .001), bradycardia requiring pacing (3 [1.9%] vs 27 [16.3%]; HR, 0.10 [95% CI, 0.03-0.34]; P < .001), and heart failure hospitalization (14 [8.9%] vs 28 [16.9%]; HR, 0.46 [95% CI, 0.24-0.87]; P = .01) were lower in the ICD group compared with the amiodarone arm.",,2024-10-02,Pubmed_Chagas_Disease.csv
39327798,Mechanisms behind the high mortality rate in chronic Chagas cardiomyopathy: Unmasking a three-headed monster.,"Chronic Chagas cardiomyopathy, Heart failure, Mortality",European journal of heart failure,"Chagas disease is a neglected tropical disease caused by the parasite Trypanosoma cruzi. Chronic Chagas cardiomyopathy (CCC), the most severe form of target organ involvement in Chagas disease, is characterized by a complex pathophysiology and a unique phenotype that differentiates it from other cardiomyopathies, highlighting its worse prognosis compared to other aetiologies of heart failure. The three pathophysiological mechanisms with the largest impact on this differential mortality include rapidly progressive heart failure, a high incidence of stroke, and a high burden of ventricular arrhythmias. However, despite significant advances in understanding the unique molecular circuits underlying these mechanisms, the new knowledge acquired has not been efficiently translated into specific diagnostic and therapeutic approaches for this unique cardiomyopathy. The lack of dedicated clinical trials and the limited CCC-specific risk stratification tools available are evidence of this reality. This review aims to provide an updated perspective of the evidence and pathophysiological mechanisms associated with the higher mortality observed in CCC compared to other cardiomyopathies and highlight opportunities in the diagnostic and therapeutic approaches of the disease.",,,,2024-09-27,Pubmed_Chagas_Disease.csv
