pubmed_id,title,keywords,journal,abstract,methods,results,conclusions,publication_date,category
40064371,Study protocol for a duration-randomized clinical trial to determine the optimal length of treatment for multidrug-resistant tuberculosis with a 5-drug regimen: The DRAMATIC trial.,"Bedaquiline, Clinical trial, Clofazimine, Delamanid, Duration randomization, Levofloxacin, Linezolid, Multidrug-resistant tuberculosis",Contemporary clinical trials,"Current guidelines for the treatment of multidrug-resistant/rifampin-resistant tuberculosis (MDR/RR-TB) are based on clinical trials evaluating fixed duration regimens. However, when a regimen succeeds, it remains unknown whether a shorter duration could yield the same results. Similarly, if a regimen fails, it is unclear whether extending the treatment could improve outcomes. Trials are needed to assess the relationship between various treatment durations and outcomes.
We designed a duration-randomized trial of treatment for fluoroquinolone-susceptible MDR/RR-TB. The DRAMATIC (Duration Randomized Anti-MDR-TB And Tailored Intervention Clinical) Trial is a multicenter, randomized, partially blinded, four-arm, phase 2 trial that examines an all oral, pyrazinamide-free regimen of bedaquiline, clofazimine, delamanid, linezolid, and levofloxacin, with administration of linezolid only in the initial 16 weeks of treatment. The four trial arms are treatment durations of 16, 24, 32 and 40 weeks. Randomization is stratified by ""extensive"" or ""non-extensive"" disease based on baseline smear (or Xpert) and cavitary status. The primary endpoint is relapse-free survival at week 76. The target sample size is 220. Participants are being enrolled in sites in the Philippines and Vietnam. The expected output will be an equation describing the relationship between treatment duration and the proportion of participants with relapse-free survival.
This trial aims to demonstrate that a duration-response relationship can be described for the treatment of MDR/RR-TB by a duration-randomized trial.",,,,2025-03-11,Pubmed_Drug_Resistant_Tuberculosis.csv
40041440,New All-Oral Short-term Regimen for Multidrug-Resistant Tuberculosis: A Semi-randomized Controlled Trial Conducted in China.,"bedaquiline, multidrug resistant, outcome, safety, tuberculosis",Open forum infectious diseases,"This study aimed to evaluate the efficacy and safety of an all-oral short-term regimen for treating multidrug-resistant tuberculosis (MDR-TB).
In this semirandomized, controlled, multicenter clinical study, patients with MDR-TB who were sensitive to fluoroquinolones were assigned to treatment groups at enrollment. Patients were assigned to group C (4-6 months: bedaquiline + linezolid + clofazimine + moxifloxacin + cycloserine; 5 months: clofazimine + moxifloxacin + cycloserine) unless this protocol was unsuitable or unacceptable, in which case they were randomly assigned to group A (4-6 months: isoniazid + ethambutol + pyrazinamide + protionamide + amikacin + clofazimine + moxifloxacin; 5 months: ethambutol + pyrazinamide + clofazimine + moxifloxacin) or group B (4-6 months: isoniazid + ethambutol + pyrazinamide + protionamide + linezolid + clofazimine + moxifloxacin; 5 months: ethambutol + pyrazinamide + clofazimine + moxifloxacin). The primary outcome was the proportion of patients achieving successful outcomes.
From September 2020 to June 2023, 397 patients with MDR-TB were screened and 360 were enrolled. Among them, 90.3% of group C achieved good treatment outcomes, as compared with 57.1% in group A (control) and 75.0% in group B. Group C demonstrated higher sputum culture conversion and pulmonary cavity closure rates than group B, with group A showing the lowest rates. The most common adverse events were skin blackening (29.3%) and hyperuricemia (20.6%). Prolonged QT intervals were observed in 39 participants, predominantly in group C (24.3%).
The all-oral 9- to 11-month short-term regimen shows promise as a new treatment option for MDR-TB. Incorporating bedaquiline into an orally administered regimen may improve treatment outcomes and reduce relapse rates. Despite certain limitations, these findings provide valuable insights for developing improved treatments for MDR-TB in China.",,"From September 2020 to June 2023, 397 patients with MDR-TB were screened and 360 were enrolled. Among them, 90.3% of group C achieved good treatment outcomes, as compared with 57.1% in group A (control) and 75.0% in group B. Group C demonstrated higher sputum culture conversion and pulmonary cavity closure rates than group B, with group A showing the lowest rates. The most common adverse events were skin blackening (29.3%) and hyperuricemia (20.6%). Prolonged QT intervals were observed in 39 participants, predominantly in group C (24.3%).",,2025-03-05,Pubmed_Drug_Resistant_Tuberculosis.csv
40025419,Completion of tuberculosis preventive treatment with 300 mg vs. 100 mg isoniazid tablets: a pragmatic randomized clinical trial.,"Isoniazid, Latent tuberculosis, Mycobacterium tuberculosis infections, Pragmatic clinical trial, Preventive treatment of tuberculosis",BMC infectious diseases,"Monotherapy with the drug isoniazid (INH) was for a long time the main therapeutic regimen used for tuberculosis preventive treatment (TPT). Research is progressing into the use of new therapeutic regimens that provide more complete TPT. The objective was to analyze the completion and safety of TPT with the drug INH in the form of 300 mg tablets.
Pragmatic, randomized, non-blinded, multicenter clinical trial conducted in Brazil from January 2019 to December 2022. Subjects over the age of 18 years with an indication for TPT was included and those whose index case of active tuberculosis was in retreatment, multidrug-resistant and extremely resistant, transferred, and people deprived of their liberty was excluded. The intervention was TPT with 1 INH 300 mg tablet and the control group with 3 INH 100 mg tablets. The primary outcome was TPT completion. Pearson's chi-square test was used to analyze the association of TPT completion. The risk of TPT completion was estimated by Poisson regression. The mean treatment effect was calculated. The results were expressed as a risk ratio (RR) with a 95% confidence interval (95%CI).
A total of 207 individuals were included, 103 (49.7%) in the intervention group. Seventy-two (69.9%) of the individuals who used INH 300 mg completed TPT. The risk ratio for completing TPT was 1.39 times higher in the group that used the INH 300 mg treatment (RR 1.39, 95%CI 1.08 to 1.79). The mean effect of the intervention was 19% (Coefficient 0.19, 95%CI 0.06 to 0.32). There was no significant difference in adverse events between the groups.
The pragmatic use of INH 300 mg in TPT showed a positive effect on the treatment completion rate and is a safe presentation for use in INH monotherapy regimens.
The protocol is registered in the Brazilian Registry of Clinical Trials under the code RBR-2wsdt6 in September 2019 10th.",,"A total of 207 individuals were included, 103 (49.7%) in the intervention group. Seventy-two (69.9%) of the individuals who used INH 300 mg completed TPT. The risk ratio for completing TPT was 1.39 times higher in the group that used the INH 300 mg treatment (RR 1.39, 95%CI 1.08 to 1.79). The mean effect of the intervention was 19% (Coefficient 0.19, 95%CI 0.06 to 0.32). There was no significant difference in adverse events between the groups.",The pragmatic use of INH 300 mg in TPT showed a positive effect on the treatment completion rate and is a safe presentation for use in INH monotherapy regimens.,2025-03-03,Pubmed_Drug_Resistant_Tuberculosis.csv
39959405,Efficacy and safety data on pretomanid for drug-resistant TB.,"adverse events, extensively drug-resistant tuberculosis, multidrug-resistant tuberculosis, pre-extensively drug-resistant tuberculosis, tuberculosis",IJTLD open,"To summarise the efficacy and safety of pretomanid (Pa) based regimens in patients with drug-resistant TB (DR-TB).
We included clinical trials, operational research and observational studies reporting the efficacy and safety of Pa-based regimens in DR-TB. The duration of the treatment was at least 24 weeks. Efficacy was reported as a favourable/unfavourable outcome and culture conversion. Safety was reported in terms of death and frequency of adverse events of special interest.
Of the 127 articles identified, 13 were included. The proportion of favourable outcomes reported was 76-100%, and the median time to culture conversion was 4-6 weeks. Culture conversion rates ranged from 80-100% by the end of 3 months of treatment, regardless of the type of drug resistance. Treatment completion rates in the operational research studies varied between 18-93%. Safety events were not proportionate among the studies included, possibly due to the differing linezolid dosing (more frequent in the 1,200 mg dose regimen).
Our review supports the use of Pa-based regimens in patients with DR-TB. The results indicate that Pa-based regimens are efficacious with tolerable safety profile in DR-TB patients.",,"Of the 127 articles identified, 13 were included. The proportion of favourable outcomes reported was 76-100%, and the median time to culture conversion was 4-6 weeks. Culture conversion rates ranged from 80-100% by the end of 3 months of treatment, regardless of the type of drug resistance. Treatment completion rates in the operational research studies varied between 18-93%. Safety events were not proportionate among the studies included, possibly due to the differing linezolid dosing (more frequent in the 1,200 mg dose regimen).",Our review supports the use of Pa-based regimens in patients with DR-TB. The results indicate that Pa-based regimens are efficacious with tolerable safety profile in DR-TB patients.,2025-02-17,Pubmed_Drug_Resistant_Tuberculosis.csv
39922239,Development and validation of a time-varying correction factor for QT interval assessment in drug-resistant tuberculosis patients.,"Correction factors, Heart rate, QT interval, QT prolongation, Tachycardia, Tuberculosis",International journal of antimicrobial agents,"Tachycardia associated with active tuberculosis (TB) often diminishes when patients recover from TB. Elevated heart rate (HR) may lead to suboptimal correction, complicating the assessment of QT prolongation when using standard correction factors (CFs), such as Fridericia's formula (QTcF). Olliaro has proposed a CF for QT interval correction in pretreatment TB patients. However, the QT-HR correlation changes as HR decreases during treatment, indicating the need for time-varying correction.
We developed an HR model to capture the HR normalisation during successful treatment. Subsequently, a time-varying CF was constructed using the estimated HR change rate. The performance of CFs to make corrected QT (QTc) independent from HR was evaluated by linear regression analyses of QTc versus HR within defined time bins.
The final HR model included asymptotic change in HR attributed to time on treatment, circadian rhythm cycles, M2 (bedaquiline-metabolite) concentration, and patient covariates. The time-varying CF decreased from 0.4081 to 0.33, with a half-life of 7.74 weeks. The slope (QTc/HR vs. Time) derived from the time-varying correction was not significantly different from 0 (95% CI -0.003 to 0.002), and the intercept was not significantly different from 0 (95% CI -0.089 to 0.006), demonstrating successful QT correction from pretreatment to the end of treatment.
The time-varying CF effectively captures the dynamic QT-HR relationship during TB treatment, reducing the risk of misdiagnosing QT prolongation or unnecessary discontinuation of treatment. By addressing underestimation and overestimation issues in QT interval assessment, this method enhances drug evaluation in clinical trials and supports improved treatment decisions for TB patients.",,"The final HR model included asymptotic change in HR attributed to time on treatment, circadian rhythm cycles, M2 (bedaquiline-metabolite) concentration, and patient covariates. The time-varying CF decreased from 0.4081 to 0.33, with a half-life of 7.74 weeks. The slope (QTc/HR vs. Time) derived from the time-varying correction was not significantly different from 0 (95% CI -0.003 to 0.002), and the intercept was not significantly different from 0 (95% CI -0.089 to 0.006), demonstrating successful QT correction from pretreatment to the end of treatment.","The time-varying CF effectively captures the dynamic QT-HR relationship during TB treatment, reducing the risk of misdiagnosing QT prolongation or unnecessary discontinuation of treatment. By addressing underestimation and overestimation issues in QT interval assessment, this method enhances drug evaluation in clinical trials and supports improved treatment decisions for TB patients.",2025-02-09,Pubmed_Drug_Resistant_Tuberculosis.csv
39918315,Xpert MTB/RIF Ultra-resistant and MTBDR,"diagnosis, heteroresistance, rifampicin susceptibility, tuberculosis",Antimicrobial agents and chemotherapy,Xpert MTB/RIF Ultra (Ultra)-detected rifampicin-resistant tuberculosis (TB) is often programmatically confirmed using MTBDR,,,,2025-02-07,Pubmed_Drug_Resistant_Tuberculosis.csv
39899859,"In rifampicin-resistant TB, bedaquiline-containing regimens reduced unfavorable status vs. a control regimen at 132 wk.",,Annals of internal medicine,GIM/FP/GP: [Formula: see text] Infectious Disease: [Formula: see text] Pulmonology: [Formula: see text].,,,,2025-02-03,Pubmed_Drug_Resistant_Tuberculosis.csv
39887565,Tuberculosis: An Update for the Clinician.,"diagnostics, post‐tuberculosis lung disease, prevention, treatment, tuberculosis","Respirology (Carlton, Vic.)","Tuberculosis (TB) remains a significant global health threat with high mortality and efforts to meet WHO End TB Strategy milestones are off-track. It has become clear that TB is not a dichotomous infection with latent and active forms but presents along a disease spectrum. Subclinical TB plays a larger role in transmission than previously thought. Aerosol studies have shown that undiagnosed TB patients, even with paucibacillary disease, can be highly infectious and significantly contribute to TB spread. Encouraging clinical results have been seen with the M72/AS01",,,,2025-01-31,Pubmed_Drug_Resistant_Tuberculosis.csv
39879593,"Oral Regimens for Rifampin-Resistant, Fluoroquinolone-Susceptible Tuberculosis.",,The New England journal of medicine,"For decades, poor treatment options and low-quality evidence plagued care for patients with rifampin-resistant tuberculosis. The advent of new drugs to treat tuberculosis and enhanced funding now permit randomized, controlled trials of shortened-duration, all-oral treatments for rifampin-resistant tuberculosis.
We conducted a phase 3, multinational, open-label, randomized, controlled noninferiority trial to compare standard therapy for treatment of fluoroquinolone-susceptible, rifampin-resistant tuberculosis with five 9-month oral regimens that included various combinations of bedaquiline (B), delamanid (D), linezolid (L), levofloxacin (Lfx) or moxifloxacin (M), clofazimine (C), and pyrazinamide (Z). Participants were randomly assigned (with the use of Bayesian response-adaptive randomization) to receive one of five combinations or standard therapy. The primary end point was a favorable outcome at week 73, defined by two negative sputum culture results or favorable bacteriologic, clinical, and radiologic evolution. The noninferiority margin was -12 percentage points.
Among the 754 participants who underwent randomization, 699 were included in the modified intention-to-treat analysis, and 562 in the per-protocol analysis. In the modified intention-to-treat analysis, 80.7% of the patients in the standard-therapy group had favorable outcomes. The risk difference between standard therapy and each of the four new regimens that were found to be noninferior in the modified intention-to-treat population was as follows: BCLLfxZ, 9.8 percentage points (95% confidence interval [CI], 0.9 to 18.7); BLMZ, 8.3 percentage points (95% CI, -0.8 to 17.4); BDLLfxZ, 4.6 percentage points (95% CI, -4.9 to 14.1); and DCMZ, 2.5 percentage points (95% CI, -7.5 to 12.5). Differences were similar in the per-protocol population, with the exception of DCMZ, which was not noninferior in that population. The proportion of participants with grade 3 or higher adverse events was similar across the regimens. Grade 3 or higher hepatotoxic events occurred in 11.7% of participants overall and in 7.1% of those receiving standard therapy.
Consistent results across all the analyses support the noninferior efficacy of three all-oral shortened regimens for the treatment of rifampin-resistant tuberculosis. (Funded by Unitaid and others; endTB ClinicalTrials.gov number, NCT02754765.).",,"Among the 754 participants who underwent randomization, 699 were included in the modified intention-to-treat analysis, and 562 in the per-protocol analysis. In the modified intention-to-treat analysis, 80.7% of the patients in the standard-therapy group had favorable outcomes. The risk difference between standard therapy and each of the four new regimens that were found to be noninferior in the modified intention-to-treat population was as follows: BCLLfxZ, 9.8 percentage points (95% confidence interval [CI], 0.9 to 18.7); BLMZ, 8.3 percentage points (95% CI, -0.8 to 17.4); BDLLfxZ, 4.6 percentage points (95% CI, -4.9 to 14.1); and DCMZ, 2.5 percentage points (95% CI, -7.5 to 12.5). Differences were similar in the per-protocol population, with the exception of DCMZ, which was not noninferior in that population. The proportion of participants with grade 3 or higher adverse events was similar across the regimens. Grade 3 or higher hepatotoxic events occurred in 11.7% of participants overall and in 7.1% of those receiving standard therapy.",,2025-01-29,Pubmed_Drug_Resistant_Tuberculosis.csv
39871554,A Clinical Multicenter Trial of Recombinant Human Interferon Gamma in Tuberculosis (GAM2022) Experience with the Use of Human Recombinant Interferon Gamma in TB Practice.,"IFN-γ, Tuberculosis, adult patients, interferon-gamma, multicenter clinical trial.",Infectious disorders drug targets,"In this article, we present the results of a multicenter clinical trial of IFN-γ in patients with drug-susceptible and drug-resistant pulmonary Tuberculosis (TB) in routine clinical practice.
This study aimed to confirm the efficacy and safety of IFN-γ administered to patients with TB.
All patients were diagnosed with TB after being tested by bacterioscopic and molecular genetic methods and had no contraindications to standard chemotherapy.
Recombinant human IFN-γ proved high efficacy in multi-center clinical trials in routine TB practice.
The results show that IFN-γ is efficient and safe in the treatment of pulmonary tuberculosis.",,Recombinant human IFN-γ proved high efficacy in multi-center clinical trials in routine TB practice.,The results show that IFN-γ is efficient and safe in the treatment of pulmonary tuberculosis.,2025-01-28,Pubmed_Drug_Resistant_Tuberculosis.csv
