pubmed_id,title,keywords,journal,abstract,methods,results,conclusions,publication_date,category
40065476,Caregivers and multidisciplinary team members' perspectives on shared decision making in Duchenne muscular dystrophy: A qualitative study.,"Duchenne muscular dystrophy, Informational needs, Interprofessional model of shared decision making, Multidisciplinary team, Patient decision aids, Patient engagement",Orphanet journal of rare diseases,"As new therapies for Duchenne muscular dystrophy (DMD) are entering the market, shared decision making (SDM) will become increasingly important. Therefore, this study aimed to understand (1) Belgian stakeholders' knowledge and perceptions of SDM in DMD treatment decision making, (2) the current state of SDM implementation in DMD in Belgium, examining the role of all involved parties, and (3) the barriers and facilitators for SDM in DMD in the Belgian context.
In this qualitative study, semi-structured interviews with the multidisciplinary team (MDT) of individuals with DMD (n = 18) and caregivers thereof (n = 11) were conducted in Belgium. Qualitative data was analyzed thematically using the framework method.
Most caregivers were unfamiliar with the term SDM, while MDT members were aware of it but struggled to define it consistent with existing literature. Despite acknowledging some drawbacks, participants valued SDM as an important process in DMD care, noting its presence in current practice. However, both MDT members and caregivers sometimes questioned the necessity of SDM due to limited treatment options available. Consequently, decision making predominantly relied on (child) neurologists sharing information and seeking consent from caregivers and individuals with DMD for a proposed treatment. Participants highlighted the important role of the MDT, with each professional contributing its unique expertise to SDM. To reduce existing barriers and enhance the SDM process, participants called for clear and transparent information regarding different treatment options, including clinical trials, and detailed information on how treatments might affect patients' daily life.
This study identified an increased need for easily understandable information, particularly regarding DMD care in general, but also about clinical trials covering new and emerging therapies. Developing specific evidence-based tools could support stakeholders' understanding of this information, thereby enhancing implementation of the SDM process in DMD care. Further, as the treatment landscape of DMD evolves, it will become increasingly important for patients to be supported by an MDT, as they can provide information on clinical trials (e.g., study coordinators), emotional support (e.g., psychologists, nurses), and decisional guidance (e.g., neurologist).",,"Most caregivers were unfamiliar with the term SDM, while MDT members were aware of it but struggled to define it consistent with existing literature. Despite acknowledging some drawbacks, participants valued SDM as an important process in DMD care, noting its presence in current practice. However, both MDT members and caregivers sometimes questioned the necessity of SDM due to limited treatment options available. Consequently, decision making predominantly relied on (child) neurologists sharing information and seeking consent from caregivers and individuals with DMD for a proposed treatment. Participants highlighted the important role of the MDT, with each professional contributing its unique expertise to SDM. To reduce existing barriers and enhance the SDM process, participants called for clear and transparent information regarding different treatment options, including clinical trials, and detailed information on how treatments might affect patients' daily life.","This study identified an increased need for easily understandable information, particularly regarding DMD care in general, but also about clinical trials covering new and emerging therapies. Developing specific evidence-based tools could support stakeholders' understanding of this information, thereby enhancing implementation of the SDM process in DMD care. Further, as the treatment landscape of DMD evolves, it will become increasingly important for patients to be supported by an MDT, as they can provide information on clinical trials (e.g., study coordinators), emotional support (e.g., psychologists, nurses), and decisional guidance (e.g., neurologist).",2025-03-11,Pubmed_Duchenne_Muscular_Dystrophy.csv
40034011,A historical perspective on the development of antisense oligonucleotide treatments for Duchenne muscular dystrophy and spinal muscular atrophy.,"RNA therapy, exon skipping, muscle, splice modulation",Journal of neuromuscular diseases,"Splice modulating antisense oligonucleotides (ASOs) have been approved for the treatment of spinal muscular atrophy (nusinersen) and Duchenne muscular dystrophy (eteplirsen) since 2016. Nusinersen obtained full approval based on convincing functional evidence in treated patients. The treatment is currently approved in over 40 countries. By contrast, eteplirsen received accelerated approval and functional evidence from clinical trials that treatment slows down disease progression is still lacking. Approval and access is restricted to the USA and several countries in the Middle-East. In this historical perspective we look back to the development paths of these two ASOs focusing on the differences between the approaches, the target tissues and the diseases. Based on this we propose learnings for future development of ASOs for progressive neuromuscular diseases.",,,,2025-03-04,Pubmed_Duchenne_Muscular_Dystrophy.csv
40017558,Association of ,,Neurology. Genetics,"Duchenne muscular dystrophy (DMD) is caused by pathogenic variants of the 
We analyzed 186 vamorolone trial participants with DMD (VBP15-002/003; VBP15-004) who were 4 to <7 years old and steroid-naïve at baseline. We stratified participants into gene variant classes by either variant location in the gene affecting different gene promoters (5' [Dp427-only] vs 3' [Dp427+other isoforms]) or residual dystrophin levels (null vs possible non-null [5' gene variants, exon 44 skippable, splice site]). We evaluated associations with baseline motor outcomes and treatment response (prednisone and vamorolone).
Participants with variants in ex63 and downstream (null for Dp427+Dp140+Dp71 protein isoforms) showed poorer baseline motor outcomes for time to stand from supine velocity than those with variants in ex1-44 (Dp427 only). No significant baseline differences were found between likely null and possible non-null variants. Participants with only Dp427 involvement showed significantly better treatment response for the 6-minute walk distance. Most of the comparisons of baseline motor function and treatment response were similar between variant classes.
The large variation in baseline motor function in young, steroid-naïve patients with DMD is only minimally explained by different gene variant classes. While there is strong literature support for 3' variants leading to a more severe motor and cognitive DMD phenotype, we found this variant class under-represented in our clinical trials. This suggests that they may fail inclusion criteria (failure to follow commands; poor motor function). Subgroup analyses in DMD clinical trials at a young age range based on gene variant class may not reveal significant differences and would be relatively noninformative.",,Participants with variants in ex63 and downstream (null for Dp427+Dp140+Dp71 protein isoforms) showed poorer baseline motor outcomes for time to stand from supine velocity than those with variants in ex1-44 (Dp427 only). No significant baseline differences were found between likely null and possible non-null variants. Participants with only Dp427 involvement showed significantly better treatment response for the 6-minute walk distance. Most of the comparisons of baseline motor function and treatment response were similar between variant classes.,,2025-02-28,Pubmed_Duchenne_Muscular_Dystrophy.csv
39973450,Optimizing DMD management in Asia: Current challenges and future directions.,"Asia, DMD, Duchenne muscular dystrophy, gene therapy, patient registry, steroid therapy",Journal of neuromuscular diseases,"Since 1970, advances in Duchenne muscular dystrophy (DMD) management have significantly extended the patients' life expectancy. However, DMD remains universally fatal.
To understand the current DMD management standards and practices in Asia and to evaluate inconsistencies, unmet needs, and future directions for DMD patient management in the region.
Clinical experts from Hong Kong, Singapore, and Taiwan convened in September 2023 to discuss DMD diagnosis, assessment, treatment, and management best practices. A pre-meeting survey was also administered to explore professional perspectives and practices and refine the discussion focus.
Genetic profiling has become the pivotal diagnostic tool and has been universally adopted by experts. Steroid therapy is recognized as the cornerstone of DMD care. However, there are various opinions regarding the timing of its initiation and whether it should be continued after the loss of ambulation. Gene therapy has the potential to significantly improve outcomes in patients with DMD. However, its adoption is hampered by high costs, the potential for serious adverse events, and difficulties with patient selection. Governments and manufacturers must work together to improve its affordability. Establishing a centralized DMD registry garnered strong support from the experts as it promised to provide insights into unique DMD subtypes, standardize treatment protocols, and facilitate the conduct of clinical trials. Furthermore, the introduction of gene therapy has highlighted the need for generating long-term safety and effectiveness data in patients with DMD. Lastly, a centralized patient registry can be used to inform policy decisions.
DMD care in Asia is characterized by substantial heterogeneity, with financial and reimbursement issues playing a major role in management decisions. A centralized patient registry has the potential to address these concerns by providing a valuable source of information.",,"Genetic profiling has become the pivotal diagnostic tool and has been universally adopted by experts. Steroid therapy is recognized as the cornerstone of DMD care. However, there are various opinions regarding the timing of its initiation and whether it should be continued after the loss of ambulation. Gene therapy has the potential to significantly improve outcomes in patients with DMD. However, its adoption is hampered by high costs, the potential for serious adverse events, and difficulties with patient selection. Governments and manufacturers must work together to improve its affordability. Establishing a centralized DMD registry garnered strong support from the experts as it promised to provide insights into unique DMD subtypes, standardize treatment protocols, and facilitate the conduct of clinical trials. Furthermore, the introduction of gene therapy has highlighted the need for generating long-term safety and effectiveness data in patients with DMD. Lastly, a centralized patient registry can be used to inform policy decisions.",,2025-02-20,Pubmed_Duchenne_Muscular_Dystrophy.csv
39973412,Digital outcome measures in Duchene muscular dystrophy: Lessons learnt from clinical trials.,"Duchenne muscular dystrophy, clinical trials, digital outcomes, stride velocity 95th centile",Journal of neuromuscular diseases,Duchenne muscular dystrophy is a severe neuromuscular disorder characterized by progressive muscle degeneration resulting from mutations in the ,,,,2025-02-20,Pubmed_Duchenne_Muscular_Dystrophy.csv
39960827,Combined 20-Hydroxyecdysone and Antisense-Mediated Exon Skipping Improve Functional Outcomes in a Mouse Model of Duchenne Muscular Dystrophy.,"20-hydroxyecdysone, Duchenne muscular dystrophy, combined therapy, exon skipping, splice switching, steroid hormone",Nucleic acid therapeutics,"Duchenne muscular dystrophy (DMD) is a severe X-linked disorder caused by mutations in the DMD gene, resulting in a lack of dystrophin protein. This leads to progressive muscle wasting, cardiac and respiratory dysfunction, and premature death. Antisense oligonucleotide (ASO)-based therapies represent a promising approach to treating DMD, with several already approved by the FDA. However, the levels of dystrophin restoration achieved in clinical trials are often insufficient for meaningful therapeutic impact, highlighting the urgent need to enhance ASO efficacy. One potential strategy is to improve muscle pathophysiology, which is compromised in DMD due to cycles of necrosis and regeneration, chronic inflammation, and fibrotic and adipose tissue replacement. These disease characteristics may limit ASO efficiency. In this study, we evaluated the combination of tricyclo-DNA-ASO targeting the ",,,,2025-02-17,Pubmed_Duchenne_Muscular_Dystrophy.csv
39959935,JAG1 overexpression partially rescues muscle function in a zebrafish model of duchenne muscular dystrophy.,,Journal of genetics,"Duchenne muscular dystrophy (DMD) is a severe genetic disorder characterized by progressive muscle degeneration and loss of function due to the absence of dystrophin. In this study, we utilized a zebrafish model with a dmd gene knockout to explore the therapeutic potential of JAG1 overexpression in mitigating DMD-associated muscle dysfunction. Dystrophic zebrafish larvae displayed significant impairments in muscle function, evidenced by reduced swimming abilities, decreased birefringence, and disrupted β-dystroglycan localization, indicative of structural degeneration. Overexpression of JAG1, achieved via plasmid injection, partially restored muscle function, as reflected by improvements in stride length and total swimming distance. However, the structural integrity of slow oxidative muscle fibers remained largely unaffected, with a functional decline from 4 to 8 days post-fertilization (dpf) being more indicative of disease progression than structural changes. These findings suggest that the rescue effect of JAG1 overexpression may not be due to the preservation of slow oxidative fibers but rather through a mechanism that reduces susceptibility to contraction-induced injury. Notably, our study faced limitations related to the control of JAG1 expression levels and tissue specificity. Our results highlight the complexity of DMD pathology, where muscle structure and function do not always correlate, emphasizing the need for refined functional assays to better assess therapeutic outcomes. By incorporating functional recovery assessments at 8-10 dpf, zebrafish models can serve as more predictive preclinical tools, potentially enhancing the translational relevance of findings and reducing risks for patients in clinical trials. This study investigates how increasing the levels of a protein called JAG1 can help improve muscle function in a zebrafish model of DMD. By showing partial recovery of muscle activity, the findings suggest new therapeutic strategies that could potentially slow disease progression and improve patient outcomes.",,,,2025-02-17,Pubmed_Duchenne_Muscular_Dystrophy.csv
39946777,Motor function testing rates and outcomes in Duchenne muscular dystrophy with comorbid autism and attention-deficit/hyperactivity disorder.,"Clinical outcome assessments, Duchenne muscular dystrophy, Neurodevelopmental disorders",Neuromuscular disorders : NMD,"Patients with Duchenne muscular dystrophy have a higher incidence of neurodevelopmental disorders, particularly autism spectrum and attention-deficit/hyperactivity disorders, than the general population. However, the clinical outcome assessments used in the evaluation of patients with Duchenne and as endpoints in clinical trials require significant patient cooperation, which can be challenging in those with severe behavioral issues and leads to their exclusion. With ongoing expansion of the therapeutic arsenal, we aimed to explore differences in motor function test completion and measurements between Duchenne patients with and without autism spectrum disorder or attention-deficit/hyperactivity disorder in a large tertiary care hospital's pediatric neuromuscular clinic. We identified significantly lower rates of motor function testing and motor function test scores among Duchenne patients with autism or attention-deficit/hyperactivity disorder. These findings underscore the need for adequate opportunity to complete motor function testing in those patients. Alternatively, the Duchenne community could consider validating more patient-reported outcomes and wearable device outcome measures in trials that families of children with neurodevelopmental disorders could more easily use. These interventions would improve equitable access to new therapies for patients with severe behavioral issues and allow researchers to track broader clinical outcomes among all patients as the Duchenne treatment landscape expands.",,,,2025-02-14,Pubmed_Duchenne_Muscular_Dystrophy.csv
39939137,Observational study of changes to glucocorticosteroid prescribing patterns in duchenne muscular dystrophy in the UK over the last decade.,"DYSTROPHIN, MUSCULAR DYSTROPHY, NEUROMUSCULAR, STEROIDS","Journal of neurology, neurosurgery, and psychiatry","Glucocorticosteroids (GC) are standard-of-care treatment for most boys with duchenne muscular dystrophy (DMD). GC use has changed over time with evolving evidence, and we describe GC patterns, dosing and side-effects in the UK over 11 years.
NorthStar data from 2012 to 2022 were analysed to understand GC type, regime and starting age. GC dose with age, patterns of GC switching and side-effect profiles by type and regime were also analysed. Participants attributed to 'other' regimes were queried and details were included.
Data on GC usage were available for 1117 boys, across 6905 observations, with 74% of boys GC treated. Prednisolone was the most common regime in the period (65% of assessments) but deflazacort prescription has increased (17% in 2012 and 43% in 2022). Daily regimes were more common (66% of assessments), and the incidence of intermittent (10 days on/10 days off) regimes has declined (46% in 2012 and 26% in 2022). Older participants were more commonly on less than recommended doses, and this was more common in those on deflazacort or daily regimes. Gastrointestinal symptoms and cushingoid features were more common in those on deflazacort than prednisolone, while increased appetite, cushingoid features, gastrointestinal symptoms and insomnia were more common in those on daily than intermittent regimes.
The use of deflazacort and daily regimes has steadily increased across the UK North Star Network in the last decade. This study provides one of the largest up-to-date real-world set of data of evolution in prescription patterns and the occurrence of side-effects in different groups of GC-treated DMD.","NorthStar data from 2012 to 2022 were analysed to understand GC type, regime and starting age. GC dose with age, patterns of GC switching and side-effect profiles by type and regime were also analysed. Participants attributed to 'other' regimes were queried and details were included.","Data on GC usage were available for 1117 boys, across 6905 observations, with 74% of boys GC treated. Prednisolone was the most common regime in the period (65% of assessments) but deflazacort prescription has increased (17% in 2012 and 43% in 2022). Daily regimes were more common (66% of assessments), and the incidence of intermittent (10 days on/10 days off) regimes has declined (46% in 2012 and 26% in 2022). Older participants were more commonly on less than recommended doses, and this was more common in those on deflazacort or daily regimes. Gastrointestinal symptoms and cushingoid features were more common in those on deflazacort than prednisolone, while increased appetite, cushingoid features, gastrointestinal symptoms and insomnia were more common in those on daily than intermittent regimes.",,2025-02-13,Pubmed_Duchenne_Muscular_Dystrophy.csv
39892019,Transition of patients with Duchenne muscular dystrophy from paediatric to adult care: An international Delphi consensus study.,"Consensus, Delphi, Duchenne muscular dystrophy, Guidelines, Neuromuscular, Transition",European journal of paediatric neurology : EJPN : official journal of the European Paediatric Neurology Society,"Duchenne muscular dystrophy (DMD) is a rare neuromuscular disorder characterized by a progressive decline in muscle function, leading to loss of ambulation, respiratory and cardiac failure, and ultimately death. Improvements in DMD management have increased patient life expectancy; therefore, there is a growing requirement for patients to transfer from paediatric to adult care services. There is also a need for clear recommendations to guide this process.
To establish international consensus guidelines regarding best practices for transitioning patients with DMD from paediatric to adult care and ensuring continuity of treatment.
Consensus statements were developed using the Delphi process and scored using the Grading of Recommendations Assessment, Development and Evaluation (GRADE) system. The initiative was led by a steering committee (one non-voting chair and two voting members) who recruited 15 expert panellists to form the consensus group. Following an initial systematic literature search, the consensus group voted in three voting rounds. Round 1 (free-text responses to questions) and Round 2 (importance ranking of statements) were completed using an online survey. Round 3 (voting on final consensus statements) took place during a virtual consensus meeting.
Consensus was reached on 48 statements covering the topics of transition planning, the transition process, post-transfer management, communicating with young people with DMD and supporting them with the transition to adult life.
These consensus statements provide guidelines for improving transition practices for young people with DMD and promoting continued care at a comparable standard in adulthood.",,,These consensus statements provide guidelines for improving transition practices for young people with DMD and promoting continued care at a comparable standard in adulthood.,2025-02-02,Pubmed_Duchenne_Muscular_Dystrophy.csv
