NCT ID,Acronym,Overall Status,Start Date,Conditions,Interventions,Locations,Primary Completion Date,Study First Post Date,Last Update Post Date,Study Type,Phases,Sponsor,Sponsor Type,Disease,category
NCT02695966,EVIS,COMPLETED,2015-05,Pancreatic Cancer,Whipples Surgery,Cambridge - United Kingdom,2018-07,2016-03-02,2019-07-16,OBSERVATIONAL,Not Available,Cambridge University Hospitals NHS Foundation Trust,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT03882866,Unknown,UNKNOWN,2019-03-28,Pancreatic Cancer,"3D-printed non-coplanar template, 3D-printed coplanar template","Hefei - China, Beijing - China, Guangzhou - China, Shijiazhuang - China, Nanjing - China, Jinan - China, Zaozhuang - China, Shanghai - China",2021-06-30,2019-03-20,2020-02-06,INTERVENTIONAL,,Ruijin Hospital,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT04572165,Unknown,ENROLLING_BY_INVITATION,2021-01-26,"Diabetes Mellitus, Type 2","Ozempic®, Active Comparator, Rybelsus®",Odense - Denmark,2024-12-31,2020-10-01,2024-01-02,OBSERVATIONAL,Not Available,Novo Nordisk A/S,INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT03190265,Unknown,COMPLETED,2017-12-14,Pancreatic Cancer,"Cyclophosphamide, Nivolumab, Ipilimumab, GVAX Pancreas Vaccine, CRS-207, CRS-207",Baltimore - United States,2022-08-03,2017-06-16,2024-08-07,INTERVENTIONAL,PHASE2,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT02822066,Unknown,UNKNOWN,2016-04,Refractory Neoplasms,Electroporation,Hangzhou - China,2018-06,2016-07-04,2016-07-04,INTERVENTIONAL,PHASE2,First Affiliated Hospital of Zhejiang University,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT00010166,Unknown,COMPLETED,2000-12-01,Pancreatic Cancer,"gemcitabine hydrochloride, adjuvant therapy, radiation therapy",Winston-Salem - United States,2003-10-03,2003-01-27,2021-09-09,INTERVENTIONAL,PHASE2,Wake Forest University Health Sciences,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT00088660,Unknown,UNKNOWN,2004-06,Pancreatic Cancer,PANVAC™-VF,"Mobile - United States, LaJolla - United States, Long Beach - United States, Los Angeles - United States, Orange - United States, Rancho Mirage - United States, San Diego - United States, San Diego - United States, Aurora - United States, Greeley - United States, Loveland - United States, Norwalk - United States, Washington - United States, Washington - United States, Jupiter - United States, Miami - United States, Miami - United States, Miami - United States, Boise - United States, Coeur D Alene - United States, Urbana - United States, Cedar Rapids - United States, Lexington - United States, Alexandria - United States, Baton Rouge - United States, Metairie - United States, New Orleans - United States, Scarborough - United States, Baltimore - United States, Boston - United States, Detroit - United States, Kansas City - United States, St. Louis - United States, St. Louis - United States, Great Falls - United States, Omaha - United States, Lebanon - United States, New Brunswick - United States, Albany - United States, Mineola - United States, New York City - United States, Durham - United States, Canton - United States, Columbus - United States, Kettering - United States, Oklahoma City - United States, Philadelphia - United States, Charleston - United States, Charleston - United States, Greenville - United States, Nashville - United States, Arlington - United States, Dallas - United States, Fort Worth - United States, Houston - United States, Houston - United States, Tyler - United States, Weatherford - United States, Richmond - United States, Seattle - United States, Spokane - United States, Milwaukee - United States",Unknown Date,2004-08-02,2006-02-08,INTERVENTIONAL,PHASE3,Therion Biologics Corporation,INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT02206360,PCEDP,ACTIVE_NOT_RECRUITING,2014-04,"Pancreatic Cancer, Pancreas Cancer, Pancreatic Adenocarcinoma, Familial Pancreatic Cancer, BRCA 1/2, HNPCC, Lynch Syndrome, Hereditary Pancreatitis, FAMMM, Familial Atypical Multiple Mole Melanoma, Peutz Jeghers Syndrome","Endoscopic Ultrasound, Magnetic Resonance Imaging (MRI)",White Plains - United States,2024-03,2014-08-01,2024-05-24,OBSERVATIONAL,Not Available,White Plains Hospital,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT00383760,Unknown,COMPLETED,2006-08,"Adenocarcinoma of the Pancreas, Pancreatic Cancer, Recurrent Pancreatic Cancer, Stage II Pancreatic Cancer, Stage III Pancreatic Cancer, Stage IV Pancreatic Cancer",eribulin mesylate,Toronto - Canada,2011-07,2006-10-03,2017-10-20,INTERVENTIONAL,PHASE2,National Cancer Institute (NCI),NIH,pancreatic_cancer,all_disease_procesed.csv
NCT02030860,Unknown,COMPLETED,2014-01,Adenocarcinoma of the Pancreas,"Paricalcitol, Abraxane, Gemcitabine",Philadelphia - United States,2015-12,2014-01-09,2024-02-13,INTERVENTIONAL,PHASE1,Abramson Cancer Center at Penn Medicine,OTHER,pancreatic_cancer,all_disease_procesed.csv
