NCT ID,Acronym,Overall Status,Start Date,Conditions,Interventions,Locations,Primary Completion Date,Study First Post Date,Last Update Post Date,Study Type,Phases,Sponsor,Sponsor Type,Disease
NCT03116126,NorAD,ACTIVE_NOT_RECRUITING,2019-01-04,Alzheimer Disease,"Guanfacine, Placebo",London - United Kingdom,2024-08-05,2017-04-14,2024-05-13,INTERVENTIONAL,PHASE3,Imperial College London,OTHER,alzheimer's
NCT04137926,Unknown,UNKNOWN,2020-03-01,Alzheimer's Disease,MicRNAs battery,Shanghai - China,2022-08-30,2019-10-24,2021-09-23,INTERVENTIONAL,NA,Shanghai Mental Health Center,OTHER,alzheimer's
NCT02537626,Unknown,COMPLETED,2018-03-15,Alzheimer's Disease,"Erchonia ALS Laser, Placebo Laser","Zapopan - Mexico, La Plazuela - Mexico",2020-06-15,2015-09-01,2021-05-25,INTERVENTIONAL,NA,Erchonia Corporation,INDUSTRY,alzheimer's
NCT05531526,Unknown,RECRUITING,2022-12-23,Alzheimer Disease,"AR1001, Placebo","Phoenix - United States, Scottsdale - United States, Scottsdale - United States, Sun City - United States, Tempe - United States, Burlingame - United States, Fresno - United States, Fullerton - United States, Murrieta - United States, Northridge - United States, Pasadena - United States, San Diego - United States, San Jose - United States, San Marcos - United States, Stanford - United States, Denver - United States, Denver - United States, Englewood - United States, Apopka - United States, Clearwater - United States, Clermont - United States, Daytona Beach - United States, Loxahatchee Groves - United States, Maitland - United States, Miami Gardens - United States, Miami - United States, Miami - United States, Miami - United States, Miami - United States, Miami - United States, Miami - United States, Orlando - United States, Orlando - United States, Palm Beach - United States, Port Orange - United States, Tampa - United States, The Villages - United States, Viera - United States, Winter Park - United States, Atlanta - United States, Atlanta - United States, Decatur - United States, Savannah - United States, Chicago - United States, New Orleans - United States, New Bedford - United States, Newton - United States, Plymouth - United States, Waltham - United States, Ozark - United States, Lincoln - United States, Las Vegas - United States, Toms River - United States, Amherst - United States, New Windsor - United States, Greensboro - United States, Matthews - United States, Winston-Salem - United States, Canton - United States, Dayton - United States, East Providence - United States, Rapid City - United States, Cordova - United States, Knoxville - United States, Beaumont - United States, Dallas - United States, Houston - United States, Houston - United States, Lubbock - United States, Salt Lake City - United States, Fairfax - United States, Falls Church - United States, Spokane - United States, Crab Orchard - United States, Wauwatosa - United States, Beijing - China, Rychnov Nad Kněžnou - Czechia, Gandrup - Denmark, Rennes - France, Mannheim - Germany, Roma - Italy, Seongnam-si - Korea, Republic of, Gwangju - Korea, Republic of, Seoul - Korea, Republic of, Chuncheon - Korea, Republic of, Incheon - Korea, Republic of, Seoul - Korea, Republic of, Daegu - Korea, Republic of, Guri-si - Korea, Republic of, Gyeonggi-do - Korea, Republic of, Incheon - Korea, Republic of, Seoul - Korea, Republic of, Seoul - Korea, Republic of, Seoul - Korea, Republic of, Seoul - Korea, Republic of, Seoul - Korea, Republic of, Seoul - Korea, Republic of, Seoul - Korea, Republic of, Den Bosch - Netherlands, Warszawa - Poland, Sevilla - Spain, London - United Kingdom",2025-12,2022-09-08,2025-02-07,INTERVENTIONAL,PHASE3,"AriBio Co., Ltd.",INDUSTRY,alzheimer's
NCT00297362,Unknown,COMPLETED,2004-06,Alzheimer Disease,Galantamine hydrobromide,No locations listed,Unknown Date,2006-02-28,2012-03-26,OBSERVATIONAL,Not Available,"Janssen Cilag Pharmaceutica S.A.C.I., Greece",INDUSTRY,alzheimer's
NCT01005862,Unknown,COMPLETED,2010-03,Alzheimer's Disease,"PF-04360365, Placebo","Glendale - United States, St. Louis - United States, Stockholm - Sweden",2012-09,2009-11-01,2012-09-26,INTERVENTIONAL,PHASE1,Pfizer,INDUSTRY,alzheimer's
NCT05151562,Unknown,RECRUITING,2022-07-18,"Mild Cognitive Impairment, Alzheimer Disease",Virtual Music Therapy,Baltimore - United States,2026-04,2021-12-09,2024-04-10,INTERVENTIONAL,NA,Johns Hopkins University,OTHER,alzheimer's
NCT00812565,Unknown,COMPLETED,2009-02,Alzheimer's Disease,"Placebo, octagam 10%",Hoboken - United States,2010-09,2008-12-22,2014-05-05,INTERVENTIONAL,PHASE2,Octapharma,INDUSTRY,alzheimer's
NCT03587974,Unknown,COMPLETED,2018-06-10,Family Caregivers,REACH-VIETNAM,Hanoi - Vietnam,2018-10-31,2018-07-16,2020-07-22,INTERVENTIONAL,NA,"University of California, Davis",OTHER,alzheimer's
NCT02087865,Unknown,COMPLETED,2014-05,Genetic Risk for Alzheimer's Disease,"donepezil HCL, Placebo",Cleveland - United States,2021-12-20,2014-03-14,2023-08-30,INTERVENTIONAL,PHASE4,The Cleveland Clinic,OTHER,alzheimer's
