NCT ID,Acronym,Overall Status,Start Date,Conditions,Interventions,Locations,Primary Completion Date,Study First Post Date,Last Update Post Date,Study Type,Phases,Sponsor,Sponsor Type,Disease
NCT00742326,Unknown,TERMINATED,2008-08,"HIV, Hepatitis C, Liver Disease, Fatty Liver, Steatosis","Pioglitazone, Placebo","Washington - United States, Bethesda - United States",2013-01,2008-08-27,2016-12-09,INTERVENTIONAL,PHASE4,National Institute of Allergy and Infectious Diseases (NIAID),NIH,hepatitis
NCT01717326,C-WORTHy,COMPLETED,2013-02-07,Hepatitis C,"Grazoprevir, Elbasvir, Placebo to Elbasvir, Ribavirin",No locations listed,2015-02-23,2012-10-30,2021-02-05,INTERVENTIONAL,PHASE2,Merck Sharp & Dohme LLC,INDUSTRY,hepatitis
NCT01641926,Unknown,TERMINATED,2012-11-26,"Hepatitis B, Chronic","PEG-Intron™, PEGASYS™",No locations listed,2016-01-21,2012-07-17,2018-08-27,INTERVENTIONAL,PHASE3,Merck Sharp & Dohme LLC,INDUSTRY,hepatitis
NCT00240526,Unknown,COMPLETED,2003-10,Hepatitis B,"Engerix™ -B, Hepatitis B immunoglobulin (HBIg)",Bangkok - Thailand,2010-03,2005-10-18,2016-12-07,INTERVENTIONAL,PHASE4,GlaxoSmithKline,INDUSTRY,hepatitis
NCT05177926,Unknown,UNKNOWN,2021-04-04,"Hepatitis B, Chronic, Mother to Child Transmission",antiviral prophylaxis with Tenofovir Alafenamide Fumarate,"Chang chun - China, Foshan - China, Guangzhou - China, Guangzhou - China, Guangzhou - China, Guangzhou - China, Guangzhou - China, Hangzhou - China, Hangzhou - China, Nanjing - China, Shanghai - China, Shenzhen - China, Xi'an - China",2023-12-31,2022-01-05,2022-01-05,INTERVENTIONAL,PHASE4,"Nanfang Hospital, Southern Medical University",OTHER,hepatitis
NCT01492426,COMMAND-3,COMPLETED,2012-01,Hepatitis C,"Daclatasvir, Telaprevir, Peginterferon alfa-2a, Ribavirin","Birmingham - United States, Phoenix - United States, Long Beach - United States, San Diego - United States, New Haven - United States, Orlando - United States, Atlanta - United States, Marietta - United States, Chicago - United States, Chicago - United States, Baltimore - United States, Lutherville - United States, Saint Paul - United States, St. Louis - United States, New York - United States, Chapel Hill - United States, Charlotte - United States, Durham - United States, Philadelphia - United States, Providence - United States, Providence - United States, Ft. Sam Houston - United States, Houston - United States, Houston - United States, San Antonio - United States, Ciudad De Buenos Aires - Argentina, Ciudad De Buenos Aires - Argentina, Prov. Buenos Aires - Argentina, Prov De Santa Fe - Argentina, Camperdown - Australia, Penrith - Australia, Westmead Nsw - Australia, Greenslopes Qld - Australia, Adelaide - Australia, Fitzroy - Australia, Prahran - Australia, Linz - Austria, Wien - Austria, Wien - Austria, Sao Paulo - Brazil, Calgary - Canada, Edmonton - Canada, Vancouver - Canada, Winnipeg - Canada, Ottawa - Canada, Toronto - Canada, Hvidovre - Denmark, Odense - Denmark, Besancon - France, Bondy Cedex - France, Grenoble Cedex 09 - France, Lille Cedex - France, Paris Cedex 12 - France, Paris Cedex 13 - France, Pessac - France, Strasbourg - France, Berlin - Germany, Berlin - Germany, Essen - Germany, Frankfurt - Germany, Freiburg - Germany, Hamburg - Germany, Hannover - Germany, Koeln - Germany, Haifa - Israel, Nazareth - Israel, Tel Aviv - Israel, Zefat - Israel, Bergamo - Italy, Cisanello (pisa) - Italy, Firenze - Italy, Napoli - Italy, Torino - Italy, Bialystok - Poland, Chorzow - Poland, Kielce - Poland, Myslowice - Poland, Raciborz - Poland, Wroclaw - Poland, Moscow - Russian Federation, Moscow - Russian Federation, Moscow - Russian Federation, Alcorcon - Spain, Barcelona - Spain, Barcelona - Spain, Valencia - Spain, Zurich - Switzerland, London - United Kingdom, Edinburgh - United Kingdom, Glasgow - United Kingdom, Birmingham - United Kingdom",2013-12,2011-12-15,2016-06-03,INTERVENTIONAL,PHASE3,Bristol-Myers Squibb,INDUSTRY,hepatitis
NCT00860626,Unknown,UNKNOWN,2008-01,"Hepatitis B, Chronic","interferon α plus nucleoside analogue, interferon α, interferon α",Guang zhou - China,2009-12,2009-03-12,2009-03-12,INTERVENTIONAL,NA,Sun Yat-sen University,OTHER,hepatitis
NCT04620226,Unknown,RECRUITING,2024-02-01,"Hepatitis C, Hepatitis B",Quality Improvement,"Toronto - Canada, Toronto - Canada",2025-07,2020-11-06,2024-02-08,INTERVENTIONAL,PHASE4,Jordan Feld,OTHER,hepatitis
NCT01548326,Unknown,UNKNOWN,2011-09,"Hepatitis B, Vaccination Failure","Atorvastatin, placebo","Tehran - Iran, Islamic Republic of",2012-07,2012-03-08,2012-03-08,INTERVENTIONAL,PHASE4,Nematollah Jonaidi Jafari,OTHER,hepatitis
NCT00056862,Unknown,COMPLETED,2003-03,Hepatitis C,"Peginterferon alfa-2a, Peginterferon alfa-2a, Ribavirin",Bethesda - United States,2010-01,2003-03-25,2013-12-06,INTERVENTIONAL,PHASE4,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH,hepatitis
