NCT ID,Acronym,Overall Status,Start Date,Conditions,Interventions,Locations,Primary Completion Date,Study First Post Date,Last Update Post Date,Study Type,Phases,Sponsor,Sponsor Type,Disease
NCT05827926,Unknown,COMPLETED,2023-04-14,"SARS-CoV-2, Influenza","Influenza Vaccine 1, mRNA-1083.1, mRNA-1083.2, mRNA-1083.3, Investigational Influenza Vaccine 1, Investigational COVID-19 Vaccine 1, COVID-19 Vaccine 1, Investigational Influenza Vaccine 2, Influenza Vaccine 2, mRNA-1083, Investigational COVID-19 Vaccine 2, COVID-19 Vaccine 2","Chandler - United States, Colton - United States, Huntington Beach - United States, Modesto - United States, Sacramento - United States, Longmont - United States, DeLand - United States, Hollywood - United States, Inverness - United States, Jacksonville - United States, Maitland - United States, Miami - United States, Columbus - United States, Decatur - United States, Decatur - United States, Lilburn - United States, Morton - United States, Peoria - United States, River Forest - United States, Lenexa - United States, Wichita - United States, Versailles - United States, Baton Rouge - United States, Metairie - United States, New Orleans - United States, Prairieville - United States, Annapolis - United States, Rockville - United States, Brookline - United States, Dearborn Heights - United States, Gulfport - United States, Kansas City - United States, Lincoln - United States, Norfolk - United States, Las Vegas - United States, Las Vegas - United States, North Las Vegas - United States, Rochester - United States, Charlotte - United States, Wilmington - United States, Cincinnati - United States, Cincinnati - United States, Cincinnati - United States, Columbus - United States, Dayton - United States, Oklahoma City - United States, Tulsa - United States, Yukon - United States, Philadelphia - United States, Philadelphia - United States, Charleston - United States, Myrtle Beach - United States, Elizabethton - United States, Hendersonville - United States, Austin - United States, Austin - United States, Beaumont - United States, Fort Worth - United States, Houston - United States, Houston - United States, McKinney - United States, San Angelo - United States, San Antonio - United States, Pleasant View - United States, Roy - United States, Salt Lake City - United States, Hampton - United States, Portsmouth - United States, Wenatchee - United States",2024-12-03,2023-04-25,2024-12-27,INTERVENTIONAL,PHASE2,"ModernaTX, Inc.",INDUSTRY,influenza
NCT00383526,Unknown,COMPLETED,2006-09,"Orthomyxoviridae Infection, Influenza, Myxovirus Infection","Inactivated, split-virion influenza vaccine, Inactivated, split-virion influenza vaccine","Antwerpen - Belgium, Angers - France, Genova - Italy, Vilnius - Lithuania",2009-06,2006-10-03,2014-01-14,INTERVENTIONAL,PHASE3,"Sanofi Pasteur, a Sanofi Company",INDUSTRY,influenza
NCT06030726,NUDGE-FLU-2,COMPLETED,2023-09-14,"Influenza, Behavior and Behavior Mechanisms",Behavioral Economic Principles,Hellerup - Denmark,2024-01-01,2023-09-11,2024-10-10,INTERVENTIONAL,NA,Tor Biering-Sørensen,OTHER,influenza
NCT00518726,Unknown,COMPLETED,2007-06,Influenza,"Surface Antigen, Inactivated, Adjuvanted, Influenza Vaccine, Formulation 2007-2008","Via dei Vestini - Italy, Via S. Spaventa, 37, Lanciano - Italy, Siena - Italy",2007-07,2007-08-21,2016-12-01,INTERVENTIONAL,PHASE2,Novartis Vaccines,INDUSTRY,influenza
NCT01691326,Unknown,COMPLETED,2012-09,Influenza,"Fluzone®: Influenza Virus Vaccine, No Preservative: Pediatric Dose, Fluzone®; Influenza Virus Vaccine, No Preservative","Bardstown - United States, Salt Lake City - United States",2012-12,2012-09-24,2014-04-16,INTERVENTIONAL,PHASE4,"Sanofi Pasteur, a Sanofi Company",INDUSTRY,influenza
NCT06656026,Unknown,RECRUITING,2024-11-30,Influenza a,ZSP1273 granules,Guangzhou - China,2025-11-30,2024-10-24,2025-03-05,INTERVENTIONAL,PHASE2,"Guangdong Raynovent Biotech Co., Ltd",INDUSTRY,influenza
NCT01866540,Unknown,ACTIVE_NOT_RECRUITING,2012-10-01,"Tonsillitis, Hypertrophy",FLUENZ,Bergen - Norway,2025-12-31,2013-05-31,2023-12-06,INTERVENTIONAL,NA,University of Bergen,OTHER,influenza
NCT01827462,Unknown,COMPLETED,2007-10,Influenza,"Trivalent, inactivated influenza vaccine (TIV), Quadrivalent, inactivated influenza vaccine (IIV4), High-Dose Trivalent, inactivated influenza vaccine (TIV High-Dose)",Stanford - United States,2015-12,2013-04-09,2017-07-11,INTERVENTIONAL,PHASE4,Stanford University,OTHER,influenza
NCT01333462,Unknown,COMPLETED,2009-03,Healthy Adult Volunteers,"NB-1008, Control",Lenexa - United States,2009-08,2011-04-12,2011-04-12,INTERVENTIONAL,PHASE1,NanoBio Corporation,INDUSTRY,influenza
NCT01258062,Unknown,COMPLETED,2010-09,Phase 1 Safety Study of GelVac Nasal Powder H5N1 Influenza Vaccine,"GelVac™ nasal powder H5N1 influenza vaccine., Placebo",Gainesville - United States,2011-04,2010-12-10,2017-02-02,INTERVENTIONAL,PHASE1,"Resilience Government Services, Inc.",INDUSTRY,influenza
